#[SH0ES_CALIB][HEALPIX] This is the data for LCDM distribution with new set of data for each repetition
# 500 repetitions, 1536 points, q0f= -0.574 h0f= 0.7304
# 
# delta_h0_lcdm_max            delta_q0_lcdm_max
1.746582031249988010e-02 1.546289062500002309e+00
1.743164062500013323e-02 1.658300781250002354e+00
1.209960937499998668e-02 9.478515625000015765e-01
1.479980468749997335e-02 9.358398437500009548e-01
1.093750000000004441e-02 8.684570312500007327e-01
1.305664062499989342e-02 7.965820312500008216e-01
1.538085937500000000e-02 1.375097656250001910e+00
1.647460937499989342e-02 1.437988281250001332e+00
1.110839843750000000e-02 1.018750000000001599e+00
1.408203124999996003e-02 1.035742187500002132e+00
1.596191406249991562e-02 1.495312500000002487e+00
2.129394531250006217e-02 1.719531250000002398e+00
1.920898437499996003e-02 1.726367187500003286e+00
1.903808593750011546e-02 1.504589843750002487e+00
1.438964843749990230e-02 1.117871093750001599e+00
1.623535156249988898e-02 1.161621093750001776e+00
1.490234374999988010e-02 1.388378906250002043e+00
1.640624999999995559e-02 1.165527343750001776e+00
1.654296874999994227e-02 1.255957031250001465e+00
1.288574218749993783e-02 1.074023437500001954e+00
1.797851562500007994e-02 1.302832031250002132e+00
1.333007812499997780e-02 1.224902343750001732e+00
2.300292968749995115e-02 1.491699218750002220e+00
1.452636718750000000e-02 1.079394531250002176e+00
1.339843749999991562e-02 1.188476562500001776e+00
1.517578124999996447e-02 1.310351562500001954e+00
2.115722656249996447e-02 1.791796875000002620e+00
1.093749999999993339e-02 7.325195312500011324e-01
2.662597656250009770e-02 2.045117187500003375e+00
2.775390624999996003e-02 1.775976562500003242e+00
1.866210937500023537e-02 1.402636718750002842e+00
1.367187500000000000e-02 1.372656250000001688e+00
1.637207031249987566e-02 1.112207031250001643e+00
1.192871093749992006e-02 1.078125000000001332e+00
1.914062499999991118e-02 1.604199218750001821e+00
1.866210937500001332e-02 1.227246093750001599e+00
1.708984375000000000e-02 1.249511718750001776e+00
1.497070312499992895e-02 1.136230468750001998e+00
2.789062499999994671e-02 2.029101562500002842e+00
1.179199218750004441e-02 1.389062500000002753e+00
1.845703124999986677e-02 1.372558593750001998e+00
1.989257812499989342e-02 1.215917968750001688e+00
1.832031249999999112e-02 1.214160156250002398e+00
1.425292968749991562e-02 1.518359375000002176e+00
1.763671875000005773e-02 1.638281250000001910e+00
2.146484374999990674e-02 1.452050781250002087e+00
1.613281249999998224e-02 1.306542968750001865e+00
1.090332031249974243e-02 1.319531250000002043e+00
1.018554687500017319e-02 1.016601562500002220e+00
1.220214843749989342e-02 9.998046875000013989e-01
1.756835937500011990e-02 1.082519531250001998e+00
1.606445312499993339e-02 1.077148437500001332e+00
2.187499999999997780e-02 1.500195312500001821e+00
1.948242187499993339e-02 1.838183593750002398e+00
1.104003906250006217e-02 1.003808593750001643e+00
1.903808593750000444e-02 1.525292968750002753e+00
2.067871093749995559e-02 1.786523437500002531e+00
1.380859374999998668e-02 1.134375000000001465e+00
1.394531249999986233e-02 8.776367187500020428e-01
1.507324218749994671e-02 9.617187500000015099e-01
1.199707031249996891e-02 9.501953125000017764e-01
1.107421874999992006e-02 1.022265625000001510e+00
1.654296875000005329e-02 1.363867187500002132e+00
1.476562500000011546e-02 1.492382812500002265e+00
1.312500000000005329e-02 1.096289062500001910e+00
1.715820312500004885e-02 1.193457031250001910e+00
1.418457031249997780e-02 1.110839843750002220e+00
1.975585937500001776e-02 1.344140625000002087e+00
1.985839843749992450e-02 1.313183593750002487e+00
1.158691406250000888e-02 9.412109375000010658e-01
1.333007812499986677e-02 9.373046875000015099e-01
1.900390624999992450e-02 1.729101562500002576e+00
2.334472656249997335e-02 1.467773437500001998e+00
1.637207031249998668e-02 1.156835937500001688e+00
