# This is the data for the Hubble and q0 maps for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.678, zup= 0.1, zdown= 0.0
# 
#  h0u h0u_err h0d h0d_err q0u q0u_err q0d q0d_err
7.206137072600090621e-01 2.103411155765174106e-03 7.291460840395372900e-01 2.743695259875217254e-03 2.591796614057114034e+00 1.500427303068312679e-01 2.577501434381666900e+00 1.773458678805721056e-01
7.210962095051557386e-01 2.102183184642788128e-03 7.288234838677368765e-01 2.750033756476132855e-03 2.642325100006195804e+00 1.498366702347393997e-01 2.530392136186536245e+00 1.783388219825990106e-01
7.213747524585597537e-01 2.105509123375110241e-03 7.282970020927952426e-01 2.743903596199837990e-03 2.651713477985000011e+00 1.498507346573292043e-01 2.514713152734005419e+00 1.773166813924250129e-01
7.211404592595255236e-01 2.109094002665142138e-03 7.289647955033394799e-01 2.725022344279247593e-03 2.622730719986431147e+00 1.491795932035279437e-01 2.578391121255527274e+00 1.793305153917859329e-01
7.212328657123311393e-01 2.104527504577813693e-03 7.280866981557889694e-01 2.738864493536942793e-03 2.612916169283451051e+00 1.494505279480843607e-01 2.529276464239763822e+00 1.802287564698850930e-01
7.211113118347980411e-01 2.101834944166143613e-03 7.286144252534385579e-01 2.736725250401436313e-03 2.629163186738277869e+00 1.489864109994754604e-01 2.541085091686993813e+00 1.789727764880292837e-01
7.203423124177082970e-01 2.103439284766945618e-03 7.292834841491090403e-01 2.750840750946564970e-03 2.529511235915242295e+00 1.473022297316932960e-01 2.637457301179584324e+00 1.828103814703945507e-01
7.206417907441823312e-01 2.060298354386535212e-03 7.295666818136995468e-01 2.858393740756186730e-03 2.520803234572777995e+00 1.395702519132149821e-01 2.710960634107874689e+00 2.001948015612456389e-01
7.200258292870153065e-01 2.021156265665145346e-03 7.324389931317515368e-01 2.979362903657048652e-03 2.381782695001692929e+00 1.359402048983578692e-01 3.172254341771998387e+00 2.128120346475932123e-01
7.203654776199283072e-01 2.025939210087802228e-03 7.322533260038892600e-01 3.010140745317495346e-03 2.401471956003882191e+00 1.359930164821912257e-01 3.150523328127605716e+00 2.151947804904768002e-01
7.201778017171023283e-01 2.059927789863360507e-03 7.327183566988108021e-01 2.935660632078536305e-03 2.415668177361898206e+00 1.405180545002945591e-01 3.060371912724610066e+00 2.017030605400406129e-01
7.202401075728627200e-01 2.064261924113406851e-03 7.321465085286544827e-01 2.916002484171325432e-03 2.415114489709630163e+00 1.405738788936613526e-01 3.041663696851868881e+00 2.020360447210494126e-01
7.191366498285705067e-01 2.062065607712812443e-03 7.336320972072735147e-01 2.921541569597356416e-03 2.373570764714323822e+00 1.421969609623955633e-01 3.038701339334937135e+00 1.967947055543321222e-01
7.174420726360413170e-01 2.018640064506850747e-03 7.390460307593297307e-01 3.021697314759693841e-03 2.197798624683749757e+00 1.381831757940505945e-01 3.555808850965679113e+00 2.055464541210472174e-01
7.184028588204877108e-01 2.033125552448966124e-03 7.356103596017594670e-01 2.960266060656172385e-03 2.303400804850298300e+00 1.398247681370624329e-01 3.175822751534694177e+00 1.999112462266396939e-01
7.194079866202770512e-01 2.023362841597096604e-03 7.339978921301902881e-01 2.962787740005994128e-03 2.378426036762248508e+00 1.380932451085877255e-01 3.063652224285883907e+00 2.050335089322596338e-01
7.192911651258924177e-01 2.081100641478834251e-03 7.324570868407139779e-01 2.793753536163902720e-03 2.407361859034539808e+00 1.464556888849062322e-01 2.918258101915955915e+00 1.838946917993843355e-01
7.209371171712942727e-01 2.102765082378370547e-03 7.287876181114406604e-01 2.746942539700157875e-03 2.570473859463027200e+00 1.490092130189681063e-01 2.613612974039598136e+00 1.792875959422171317e-01
7.209974732025272726e-01 2.106984511421674654e-03 7.287392748310491664e-01 2.757452287400089918e-03 2.631191832890767301e+00 1.497113702465043827e-01 2.512543398011763074e+00 1.799669153495485896e-01
7.215156946266079174e-01 2.097690772225870200e-03 7.280147080697261242e-01 2.768380531239715385e-03 2.663502533226547619e+00 1.482621493597421070e-01 2.476992126033864761e+00 1.810870755728463122e-01
7.214683422523313627e-01 2.100891430194613135e-03 7.281710423412552924e-01 2.747620544043571141e-03 2.653520776352734423e+00 1.496552681457126166e-01 2.512346600949422637e+00 1.771116633071943280e-01
7.214937419363917082e-01 2.112935955664414604e-03 7.282200675364639553e-01 2.719392913235865565e-03 2.657686436157657095e+00 1.499900263814159529e-01 2.521979932364708521e+00 1.777119707852884423e-01
7.214873275978841427e-01 2.106179404250167753e-03 7.282395326917630030e-01 2.737676928904990339e-03 2.641778144979707754e+00 1.493045733515360463e-01 2.536858431041128625e+00 1.764631419407675650e-01
7.215470948577036303e-01 2.112660635747210663e-03 7.274322832389422677e-01 2.717975560963683569e-03 2.647534862903140773e+00 1.500452297627028753e-01 2.489322639505658241e+00 1.765243101673341364e-01
7.210151817697864063e-01 2.102653101862051680e-03 7.284798723899030826e-01 2.737092894744786939e-03 2.624350010832469771e+00 1.493893599939246364e-01 2.524374753286421136e+00 1.782457790435610645e-01
7.207156932863897358e-01 2.104628244039342001e-03 7.289477278511897751e-01 2.745622877256300234e-03 2.592145123297036502e+00 1.481620942620271997e-01 2.555027357950929723e+00 1.801608158285701866e-01
7.208065667461818204e-01 2.064082169077108286e-03 7.291569724409427966e-01 2.847611092983342272e-03 2.493817484016184416e+00 1.399163702088059291e-01 2.740129552046817185e+00 1.970442626020339205e-01
7.198245141029989691e-01 1.000000000000000000e+00 7.317274790559937792e-01 2.928249948809181352e-03 2.373259201780291594e+00 1.371887338102344422e-01 3.095945704387288888e+00 2.082188220928283262e-01
7.209411383556340036e-01 2.040397647354890830e-03 7.305727074910208785e-01 2.962708867985166042e-03 2.464141378526893966e+00 1.376116341164654866e-01 2.957633781115617033e+00 2.089080121697601267e-01
7.207294536707044008e-01 2.045863026715596077e-03 7.315418510003068864e-01 2.972914443459388680e-03 2.431327348924502640e+00 1.382877615188895515e-01 3.046008059188744177e+00 2.073711680659910128e-01
7.204990553671120068e-01 2.071899548765270948e-03 7.315251988361286539e-01 2.891522002751276306e-03 2.454441255159662827e+00 1.416236882110150641e-01 2.952005043367708303e+00 1.983832511093398809e-01
7.199746641453199647e-01 2.059240279538283955e-03 7.333284149138595831e-01 2.937624192269032083e-03 2.404179644875405142e+00 1.408813253023396550e-01 3.088990486917687850e+00 1.996403564980277212e-01
7.203572309979647814e-01 2.064135832146916840e-03 7.322920757538962100e-01 2.904881359948841783e-03 2.436165697589351531e+00 1.418181926590158515e-01 2.989334386480873018e+00 1.976623422000005625e-01
7.190541571606541282e-01 2.063804307366402108e-03 7.343383969903773956e-01 2.917870228904385823e-03 2.359996636408812520e+00 1.437450994474402111e-01 3.045868167764440138e+00 1.913451850434129686e-01
7.175417693700887334e-01 1.000000000000000000e+00 7.380245616213229054e-01 2.972776528011037561e-03 2.221771627496037738e+00 1.399981679612209151e-01 3.386211992555096639e+00 1.993829681590900960e-01
7.178644041495171324e-01 2.047494995364775375e-03 7.366268063040083414e-01 2.903648404982546189e-03 2.292486064913212829e+00 1.412574431221798876e-01 3.186944123584583011e+00 1.933473195429103175e-01
7.190003135202741591e-01 2.035039923528610562e-03 7.339510167250828943e-01 2.930340584677771504e-03 2.382934111605393923e+00 1.402058552756220433e-01 2.974776254768039419e+00 1.975233986120635554e-01
7.186509393681705937e-01 2.082886547310751346e-03 7.331506945417233245e-01 2.770040029163613020e-03 2.371676423455114868e+00 1.462778710227061185e-01 2.934039909527888401e+00 1.822978887952351745e-01
7.209111300507842213e-01 2.108412144568666113e-03 7.290193226727067488e-01 2.735047210870540212e-03 2.563771815500967666e+00 1.497193985929102800e-01 2.647557549093932039e+00 1.769070201997674507e-01
7.212845643630328984e-01 2.108128906434851135e-03 7.280921962801143454e-01 2.748885469480120969e-03 2.593219313752515465e+00 1.496769265845303287e-01 2.571186287925839142e+00 1.817231915098617423e-01
7.220920104239209047e-01 2.112172735517218580e-03 7.268261027887840120e-01 2.735883695240331169e-03 2.673889351859508601e+00 1.493013750537639239e-01 2.465653942057984160e+00 1.800609794762236537e-01
7.221647033208659083e-01 2.113726418845889195e-03 7.267392663270504372e-01 2.729845575089075160e-03 2.683177780842822546e+00 1.489298457498027251e-01 2.452369175462303819e+00 1.802698824819319035e-01
7.216155987700131336e-01 2.113821734122902328e-03 7.277992553507631746e-01 2.721689452691473943e-03 2.658550230372672019e+00 1.478627119192663375e-01 2.501140885233406053e+00 1.789326868963255490e-01
7.218430737735557212e-01 2.108061888075010281e-03 7.277974672923539501e-01 2.730593228381706251e-03 2.691804386561175821e+00 1.509177502223782996e-01 2.480339406942961400e+00 1.790300374441584630e-01
7.211322957720328608e-01 2.112903000072789174e-03 7.289916315711556516e-01 2.719477407500762393e-03 2.619872903923979646e+00 1.497381988082775173e-01 2.587656461062471713e+00 1.773693530477492564e-01
7.214625974102555350e-01 2.115400894930450845e-03 7.281840192700900216e-01 2.713784243104507780e-03 2.645890159935919694e+00 1.501043064242775227e-01 2.533019120348526165e+00 1.767454527405887266e-01
7.217554888500266053e-01 2.122023644773323500e-03 7.270716527555174391e-01 2.703012807360804810e-03 2.715184954895216496e+00 1.522644863950151917e-01 2.410519143842236200e+00 1.739270351554218219e-01
