# [SH0ES_CALIB] This is the data for LCDM distribution with a new set of data for each repetition
# 500 repetitions, 3072 points, q0f= -0.574 h0f= 0.7304
# 
# delta_h0_lcdm_max            delta_q0_lcdm_max
1.643543713537487516e-02 1.254364251923265616e+00
1.923248795196252914e-02 1.527968312480231683e+00
2.089272045649848142e-02 1.524818287117674309e+00
2.215396953490300636e-02 1.686148901773214748e+00
1.212920423090935174e-02 1.161926464667693226e+00
1.426939454907905080e-02 1.051302502962413898e+00
1.668554620815476675e-02 1.195672768472151093e+00
1.451227744634664418e-02 1.096986227770499589e+00
1.835552541300911056e-02 1.413574204852554583e+00
1.624294125964786950e-02 1.312214271342404093e+00
2.062218998514353530e-02 1.639174324323222631e+00
2.350824964553865914e-02 1.523092929553429009e+00
1.650924202068326796e-02 1.233619242859654186e+00
1.836819121902133478e-02 1.124092274667771951e+00
1.860935596953006144e-02 1.624636609933791886e+00
1.739470788043473437e-02 1.271445305132391068e+00
1.817908074341456626e-02 1.311353261485001642e+00
1.844928057316952419e-02 1.333370906328082528e+00
1.817886238745924921e-02 1.269702932529781947e+00
1.814006402778089999e-02 1.440279213817611259e+00
1.593323244291489083e-02 1.367837752166131793e+00
1.251240003022779934e-02 9.562438746636496845e-01
1.995308102883319723e-02 1.679190365307739796e+00
1.849999547519043386e-02 1.198189799810808420e+00
1.430569490424093981e-02 1.161174472205616759e+00
1.998859774361694264e-02 1.400984946755715388e+00
2.209604764736239346e-02 2.104360512566800345e+00
1.816702452010476865e-02 1.524604701994990430e+00
1.356860948602500727e-02 1.418925431916017610e+00
1.740703171247559577e-02 1.265588772301197817e+00
1.199782694676987393e-02 9.225877746496297105e-01
1.527511625271193996e-02 1.464962675994132546e+00
1.109171096929972844e-02 9.508481831895074787e-01
1.915138709867536537e-02 1.125278951868628363e+00
1.636591119185359933e-02 1.129269340313304282e+00
1.546965735781180573e-02 1.264388848417906441e+00
1.979472834117379509e-02 1.529189957118730403e+00
1.648626499443983651e-02 1.086927260120173822e+00
1.440503799184966738e-02 9.087971356162101166e-01
1.999257084370842374e-02 1.827539821464299719e+00
1.751559791583401360e-02 1.143750530166616652e+00
1.942900018634530213e-02 1.496242250696341980e+00
1.559473235587061080e-02 1.327089293236826339e+00
1.933763201577209934e-02 1.441526759484125897e+00
1.504078320812141101e-02 1.229991957681010994e+00
2.212586734810439992e-02 1.463725588684989143e+00
2.322683324818664019e-02 1.886771763438218841e+00
1.700082658591928197e-02 1.403254411323227924e+00
2.163488670145274906e-02 1.510592110340288396e+00
1.599699760757578026e-02 1.466101270778150667e+00
1.907432733315195250e-02 2.057558238361646197e+00
1.347610594875015000e-02 1.227087896124286592e+00
1.478085925223493469e-02 1.262300496351546952e+00
1.815008281518259992e-02 1.579999164288351743e+00
2.062263857463586536e-02 1.957101859758770379e+00
1.534709724078053839e-02 1.307124493708435198e+00
2.232120049053742949e-02 1.720433866871450723e+00
1.385636753276808797e-02 1.058547058664622398e+00
1.518710909908826956e-02 1.371231856234580659e+00
1.357693126252956795e-02 1.201528363811914080e+00
1.711259875271131659e-02 1.240659147285701813e+00
1.644215415398830871e-02 1.353929403376585849e+00
1.852978329661636447e-02 1.580787234698681321e+00
1.931441742147355090e-02 1.324415447589107453e+00
1.790096252405937172e-02 1.448959183962389208e+00
2.037339991766362601e-02 1.544157233259987549e+00
