# [SH0ES_CALIB][HEALPIX] This is the data for ISO distribution with new set of data for each repetition
# 500 repetitions, 1536 points, q0f= -0.574 h0f= 0.7304
# 
# delta_h0_iso_max           delta_q0_iso_max
1.222025478389410225e-02 1.003614802803299844e+00
1.048288315910317348e-02 9.136772955235233917e-01
8.978120767215713727e-03 7.434205195620722240e-01
1.289365882249637885e-02 9.353313192517705987e-01
8.396613690363596838e-03 8.041572495913179575e-01
1.333285123706984265e-02 8.781934854853831185e-01
1.190414455497135204e-02 8.779647941111731191e-01
1.099996148644066807e-02 7.175477069263974661e-01
1.512111631191304095e-02 9.602888118408525742e-01
1.007367532292013923e-02 9.879286545864298663e-01
1.370572788244017737e-02 1.014203194190184343e+00
1.357678201284762132e-02 1.123859592412273400e+00
1.069031755604454847e-02 5.521399914543936305e-01
1.096845099961385461e-02 6.710556317982961927e-01
8.193820632184656283e-03 6.828330052119326865e-01
1.278922264852688784e-02 9.871677199327597574e-01
1.401538143841607464e-02 1.100485739364269744e+00
1.631159399434967128e-02 1.135476815284768737e+00
1.501461369866463613e-02 1.008952906616263911e+00
1.320479587349865369e-02 1.036200120429018101e+00
9.250861161842260927e-03 7.921601661856685350e-01
1.073285859143624510e-02 6.590716394253252064e-01
6.728786899387606546e-03 5.171880544796887413e-01
9.674044692132288681e-03 9.145753348949265948e-01
8.763431112032482595e-03 7.161498596350135415e-01
1.004523669677370723e-02 9.076845509655211419e-01
7.267653327753920145e-03 6.318896792985830846e-01
7.840510665930944256e-03 4.920823405060161804e-01
1.115665955843747614e-02 9.148670363199843392e-01
7.093817537070723489e-03 6.287602633534977725e-01
8.785183133184326643e-03 5.762534933335994314e-01
1.371678676951026965e-02 1.034714187853887468e+00
9.829894092234114922e-03 9.603414967058333529e-01
1.025667096824056657e-02 8.330824612207952118e-01
8.564318361674705393e-03 7.620978906306139500e-01
9.279604914617101130e-03 6.703631547402240098e-01
8.976404839664442470e-03 6.495499649432443512e-01
1.353559465002618367e-02 8.094799756722204087e-01
7.234280419622596270e-03 6.133552165840938653e-01
1.012115063539198445e-02 7.945532579640128823e-01
1.668729905174959338e-02 1.066051674626647738e+00
1.218845595504980395e-02 1.020859296578629172e+00
9.416717938563912149e-03 6.712012352857334996e-01
1.016010724853977365e-02 8.310177020217963673e-01
1.127530408668653283e-02 9.041450525308639685e-01
7.864308334788128185e-03 6.425953944410109919e-01
8.627036906495022528e-03 6.808015662568170923e-01
7.387515465578808893e-03 5.242379591465453625e-01
1.178171773268987810e-02 7.680433484984110493e-01
8.714138424976258790e-03 7.391907551825465106e-01
8.081175863902778644e-03 7.009920870653902902e-01
8.246709331864221504e-03 5.737332002862822744e-01
1.456378399284363745e-02 1.113585220712416834e+00
9.183975274557609758e-03 8.657209631143781836e-01
9.259317360450602941e-03 6.624938130018079852e-01
1.083874682907137732e-02 8.967361057998761709e-01
9.532236737201604804e-03 6.601722310152700057e-01
8.751340260855999809e-03 6.388953070231033760e-01
1.114931613589253967e-02 8.691686501535762499e-01
