# This is the data for the Hubble and q0 maps for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.678, zup= 0.1, zdown= 0
#
#  h0 h0_err q0 q0_err
7.272625594257084991e-01 2.433689451416041864e-03 2.494501529653916805e+00 1.640253440798672968e-01
7.270734006078204414e-01 2.421712876446402776e-03 2.462200875055730265e+00 1.616113460755776721e-01
7.272666602719125573e-01 2.421737986064693201e-03 2.536680258325181292e+00 1.641442333411684829e-01
7.276402014835435805e-01 2.437426417567866484e-03 2.549954590372457197e+00 1.646102421670432858e-01
7.276699773360807422e-01 2.419363585981275117e-03 2.519822041142762092e+00 1.623668542507737955e-01
7.274624075190957440e-01 2.415783632353076058e-03 2.456556870902477208e+00 1.605174140681538131e-01
7.273335018478346292e-01 2.410450418047342582e-03 2.448014690765960122e+00 1.596016609781188977e-01
7.273633777446664173e-01 2.411577291700498209e-03 2.490087541706195839e+00 1.607433457440270719e-01
7.273919517908409293e-01 2.419076056442015163e-03 2.549354830261184368e+00 1.636954437093305348e-01
7.273015732424700230e-01 2.422972378498174876e-03 2.543922777014151482e+00 1.641617383198037683e-01
7.275155113831954790e-01 2.429643320046170982e-03 2.552527209145448062e+00 1.643237838072612311e-01
7.273073646635480616e-01 2.436815185034814021e-03 2.520035313942096789e+00 1.640686279070707743e-01
7.281689812831338982e-01 2.424667172810729843e-03 2.524260168447249431e+00 1.621872468580858873e-01
7.277898950721697346e-01 2.420124159563845703e-03 2.515229814213247206e+00 1.620253108235264194e-01
7.275228591034340608e-01 2.408495687148007845e-03 2.456997926530665843e+00 1.594456520555061763e-01
7.272813708431721258e-01 2.401036356107130385e-03 2.454184915124938193e+00 1.593402672679882226e-01
7.277021560422947122e-01 2.411149858691642115e-03 2.467980806544963546e+00 1.592765107325676277e-01
7.273792339368756465e-01 2.412209004568116513e-03 2.491494047691218849e+00 1.608142542084239068e-01
7.274338022328386000e-01 2.397727553167324117e-03 2.494682230060029315e+00 1.592403865841457433e-01
7.271969849290876864e-01 2.415531488107242834e-03 2.534941918506680825e+00 1.625266726866595179e-01
7.267698776206088507e-01 2.420817610196779410e-03 2.511700311697842469e+00 1.641065790977099537e-01
7.276331665837243445e-01 2.431981863387915142e-03 2.562230471762573458e+00 1.645505347667150509e-01
7.282148169403338533e-01 2.449845409121504877e-03 2.568465966106859621e+00 1.000000000000000000e+00
7.278141274944242012e-01 2.454770201413936093e-03 2.539342846168369583e+00 1.659052738591370313e-01
7.280138770885994370e-01 2.431731077912988905e-03 2.513743856155686185e+00 1.631982987295828580e-01
7.285085125217802826e-01 2.430609750594984412e-03 2.533088370116723276e+00 1.600009898917890971e-01
7.271778320976213239e-01 2.416872575358081521e-03 2.435918336353456670e+00 1.602220741567380868e-01
7.269200718029877883e-01 2.407101543952186277e-03 2.415520937239209243e+00 1.589196400285360355e-01
7.266242565605743886e-01 2.406740795253129502e-03 2.408436631881952561e+00 1.594508024110733169e-01
7.269727959028871034e-01 2.396848256086704394e-03 2.441883106498199840e+00 1.585557146525091443e-01
7.270381201019898709e-01 2.402266969525508177e-03 2.462210256089025329e+00 1.599677410083792106e-01
7.272574975811090248e-01 2.396324826563310008e-03 2.486371584214603914e+00 1.592150334966141167e-01
7.272615685994231471e-01 2.404468183518732646e-03 2.485203812064122442e+00 1.594666647118379021e-01
7.270035599084929689e-01 2.408258703076731309e-03 2.533635575701787879e+00 1.622573911020488424e-01
7.263383981887530094e-01 2.397378107082718049e-03 2.476961044682534752e+00 1.614522546523413371e-01
7.261492014849560972e-01 2.413814343298757714e-03 2.478679175760758913e+00 1.638504873279804375e-01
7.284762254214511845e-01 2.439475028434795294e-03 2.576399762262716830e+00 1.647656415979645017e-01
7.283493955094005878e-01 2.443000100940737832e-03 2.569537504218414092e+00 1.670231179544755251e-01
7.285673860532279056e-01 2.438704297373554472e-03 2.587615162373821054e+00 1.650705784560445866e-01
7.281432255694562095e-01 2.449372547709720033e-03 2.535037776661994702e+00 1.648034144485534813e-01
7.276990169940416031e-01 2.424523064971609732e-03 2.513717300576594926e+00 1.634107882711426374e-01
7.284681131284489464e-01 2.427260163003480600e-03 2.522439115038805024e+00 1.624480773481506712e-01
7.279458292424046961e-01 2.422038877828770666e-03 2.454914024077899271e+00 1.595836819827340103e-01
7.273104159898153842e-01 2.410875624557334927e-03 2.439027217368013201e+00 1.587283259655737078e-01
7.272979362574509832e-01 2.401422721956100650e-03 2.445123566401210091e+00 1.581502714037110180e-01
7.265486314572353610e-01 2.399689192268179665e-03 2.409852367511295945e+00 1.585405724972899499e-01
7.268414731212488045e-01 2.396499360211973382e-03 2.431194238463714186e+00 1.586408213906700670e-01
7.259691131091206007e-01 2.383943278957475521e-03 2.378308533049130702e+00 1.577376606841418005e-01
7.267483398510184989e-01 2.370519024648275359e-03 2.441252022021053403e+00 1.580469940312325405e-01
7.266041908309851527e-01 2.392353576010348634e-03 2.429867904278427471e+00 1.585514589302338684e-01
7.267479122974914718e-01 2.388098541323436987e-03 2.443562174961354305e+00 1.580985183916800707e-01
7.269209536303580244e-01 2.387960378227105187e-03 2.492622437906852895e+00 1.583798257512100405e-01
7.262230107578907523e-01 2.392677088922113334e-03 2.476844599393838831e+00 1.610871837184506272e-01
7.263016001399135169e-01 2.391271755164786975e-03 2.477533241767682526e+00 1.612410150337973136e-01
7.263679727195614388e-01 2.410004046468371564e-03 2.478309963005069783e+00 1.622253482367389810e-01
7.282589642224743809e-01 2.414748121684277219e-03 2.559944348588440999e+00 1.628308832756077129e-01
7.283263924302024739e-01 2.431488982815082234e-03 2.561570946064625875e+00 1.000000000000000000e+00
7.286419936565098343e-01 2.436940339151563457e-03 2.593641869117389920e+00 1.616512810306846570e-01
7.283167257138717376e-01 2.457976073130972803e-03 2.558049596973798412e+00 1.648689994950566506e-01
