# This is the data for the Hubble and q0 maps for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.678, zup= 0.1, zdown= 0.01
# 
#  h0u h0u_err h0d h0d_err q0u q0u_err q0d q0d_err
7.257300533202659665e-01 2.092736647637276695e-03 7.372003039712378136e-01 3.191078083015685008e-03 2.317509731472307433e+00 1.358031040513689724e-01 3.703409601423261144e+00 2.184381038138922260e-01
7.286993449556000702e-01 2.182367481053434661e-03 7.289208127807396131e-01 2.909496040019868193e-03 2.744058180979378481e+00 1.494664054705090728e-01 2.528838677141846514e+00 1.851344686511447180e-01
7.277944166918087765e-01 2.193514298876183925e-03 7.305276731388470335e-01 2.896800320521508796e-03 2.690343041202897467e+00 1.522423179921019720e-01 2.621962177230581670e+00 1.806260004948333775e-01
7.279303362501604591e-01 2.108616942583645040e-03 7.315156297173620592e-01 3.124276897343718912e-03 2.564231983341672017e+00 1.377542427382048296e-01 2.920302947799111593e+00 2.116140664327715026e-01
7.253414716422319497e-01 2.093041135316776359e-03 7.384033805363484637e-01 3.209808116645067062e-03 2.347510267880064116e+00 1.364260228374834238e-01 3.561144385492191589e+00 2.152820752634613255e-01
7.248910723314466731e-01 2.102367134115850755e-03 7.384939824702217992e-01 3.163086641459719392e-03 2.287346757006444964e+00 1.375574077344897950e-01 3.644491441449698055e+00 2.112592145206443339e-01
7.273882486084968235e-01 2.118567635089487530e-03 7.323840943015703653e-01 3.092120692930295026e-03 2.499796717870904850e+00 1.393184711035853895e-01 3.039848135789264827e+00 2.045516708453114785e-01
7.282158223205056347e-01 2.188124845202175667e-03 7.299921608802077966e-01 2.902015693624649447e-03 2.750682679526569530e+00 1.502046566760752710e-01 2.549793093660948085e+00 1.813915809546956803e-01
7.294034957333064284e-01 2.201651869644240950e-03 7.275114436354831460e-01 2.870517483233010411e-03 2.814733233092340914e+00 1.502233273546538239e-01 2.449824037721311409e+00 1.821362856981537659e-01
7.281000508945831839e-01 2.193484515929103578e-03 7.297411124896200363e-01 2.884476426618524329e-03 2.715992455835611885e+00 1.509375937161151759e-01 2.572236333274393605e+00 1.793849962777812612e-01
7.272909032463904522e-01 2.145550310985633053e-03 7.319603347164246321e-01 3.009328460318792114e-03 2.558246595999887685e+00 1.409598409784886541e-01 2.875599333947614245e+00 1.973461345913303799e-01
7.264815233809619466e-01 2.095287797191278632e-03 7.358942743282674837e-01 3.188151677814843928e-03 2.425759998265075712e+00 1.366271698098249776e-01 3.395474749978484308e+00 2.132858328802999803e-01
7.251958187550693324e-01 2.094327456056928327e-03 7.393379472170612532e-01 3.227634342735347973e-03 2.372492888232631270e+00 1.374691199122992091e-01 3.495795075618223446e+00 2.119160102683873004e-01
7.251310729979827396e-01 2.080952263609282902e-03 7.394436931065043739e-01 3.256055303525456825e-03 2.346892309227763374e+00 1.358751910183839118e-01 3.606290070897528288e+00 2.179298675066664304e-01
7.247256831901089935e-01 2.099191423543764548e-03 7.388724907453425583e-01 3.190366369046558973e-03 2.308162312969869401e+00 1.379976354128215066e-01 3.546004691686364119e+00 1.000000000000000000e+00
7.267007952149707739e-01 2.122223121857981509e-03 7.341921312671341182e-01 3.067661965018383952e-03 2.459396934452497074e+00 1.396059149224875562e-01 3.148474071159681031e+00 2.029060017963993934e-01
7.273111304857131643e-01 2.179811972544179986e-03 7.312160257570187172e-01 2.909727151633395483e-03 2.657946460240470987e+00 1.500198022833363898e-01 2.649665306227045214e+00 1.802663448946663083e-01
7.280403984091615710e-01 2.188844269915141572e-03 7.300416246956684674e-01 2.886794006543070591e-03 2.740344673129892605e+00 1.489866213520537330e-01 2.552700986513515513e+00 1.000000000000000000e+00
7.286693883535316774e-01 2.194619287354583354e-03 7.290395464647445589e-01 2.862448136173279326e-03 2.772051369448957470e+00 1.509646084325947935e-01 2.526872807398237608e+00 1.821732647314849851e-01
