# This is the data for the dw statistics for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.678, zup= 0.1, zdown= 0.008
#  dw_up dw_down
1.049037035638187287e+00 7.239064130276527953e-01
1.038024128369642307e+00 7.889707691741262297e-01
9.830709265418040577e-01 7.776528327318170675e-01
1.032726153739135899e+00 7.247412453041391922e-01
1.057840906632929956e+00 7.389594949053326367e-01
1.070926047196953501e+00 7.092589648070112274e-01
1.034620937536970375e+00 7.863313430353742195e-01
9.921876601789018091e-01 7.907114400958796807e-01
9.645458724698272590e-01 7.824265474426523870e-01
9.681676762222953814e-01 8.011582215403090235e-01
9.989658626366128003e-01 7.949419897632831189e-01
1.054440445710557839e+00 7.093704328644275803e-01
1.070617810048609675e+00 7.000576840174195237e-01
1.050590689265919586e+00 6.938783669585598668e-01
1.065974099715243373e+00 7.051036779703604429e-01
1.045512662600809106e+00 7.881985245534860463e-01
1.034148891710897855e+00 7.748518327142125406e-01
9.941686578025711318e-01 7.570345341701631980e-01
9.764806607109318692e-01 7.996152710832726829e-01
9.645868741992738027e-01 7.675552349838975497e-01
9.870587106636252717e-01 8.061300883879791712e-01
9.981378923474231168e-01 8.017828375853638390e-01
1.027821451066216030e+00 8.117220062108029266e-01
1.050246418418869343e+00 7.022143606897849333e-01
1.037874672382045560e+00 6.886720256977487686e-01
1.050540175679086863e+00 6.691422463182440383e-01
1.057380703568993718e+00 7.056615705941802208e-01
1.057728280395657361e+00 7.351874279548566982e-01
1.047130340804396376e+00 7.339301584507175180e-01
1.028361306456951674e+00 8.098748633380223882e-01
1.011307055691489376e+00 8.400355969392477862e-01
9.746703809851988698e-01 8.629113672451755868e-01
9.687902530269623114e-01 8.008581838494428506e-01
9.824950527455885707e-01 7.663441069311167642e-01
9.594789712243556590e-01 8.004529547589709360e-01
9.852931329120149240e-01 7.885768774559506200e-01
9.949671476002686088e-01 8.145161933314631897e-01
1.003849188479400523e+00 7.783169375407553714e-01
1.018181538727374713e+00 7.466372820749465067e-01
1.034537569045134386e+00 6.817835521050035208e-01
1.018932694348218870e+00 6.783890751259764595e-01
1.020550677837019471e+00 6.947380733735810665e-01
1.041841993549233791e+00 7.506332186673991824e-01
1.063192227649063071e+00 6.868219093344807291e-01
1.064924344945623380e+00 6.960426305591467244e-01
1.034987350225397673e+00 7.866717550440276430e-01
1.026242395572180222e+00 7.823392874583031675e-01
1.004577949912536683e+00 8.211260401323239311e-01
9.485294268250601402e-01 8.443485813469717716e-01
9.410635502953141884e-01 8.423889510688894466e-01
9.312060013262795088e-01 8.644518463459673896e-01
9.462520009828623291e-01 7.860452130274928617e-01
9.653119517378295766e-01 7.704629933208250181e-01
9.645383887940788270e-01 8.084644458508648546e-01
9.862048873656350523e-01 7.881236393131824114e-01
9.916444029949471606e-01 8.040185615923877149e-01
9.906436339924130641e-01 7.954851570654448700e-01
1.014780690551560394e+00 8.110242056320074999e-01
1.021676579786244377e+00 7.244849458644923024e-01
1.038203816074582786e+00 6.946604625975071334e-01
1.007198481344358187e+00 6.928335632248241449e-01
1.017347530476413242e+00 6.685339378993050419e-01
1.001316447131985976e+00 6.857079261584771990e-01
1.005019426057050413e+00 7.982177421518046323e-01
1.053407627253976964e+00 6.866578793818056692e-01
1.059773590009094324e+00 7.353845938801334414e-01
1.042461017208167640e+00 7.641118507354276446e-01
1.036860559795452552e+00 7.827255137237187910e-01
1.005957919102179465e+00 8.988921297534754329e-01
8.982195839914515201e-01 9.152746347144042893e-01
8.738994444193047828e-01 9.878577182996807204e-01
9.202371857112731091e-01 8.629866067347068403e-01
9.535369564749961446e-01 8.339895980299324441e-01
9.685313122768763883e-01 8.102431796625749749e-01
9.658560691936065590e-01 7.526673881377221598e-01
9.679342669009981526e-01 7.896443466058246097e-01
9.590267761219206655e-01 7.885644795152358943e-01
9.938353561365925737e-01 7.761304927264613962e-01
9.846337738319909105e-01 8.141017719112242368e-01
9.900763771470078023e-01 7.971396523652466426e-01
1.014206037445360309e+00 7.872546102236325227e-01
1.023229358437047765e+00 7.536965798184562804e-01
1.017081628174923313e+00 7.548378042812893263e-01
1.022944888605727076e+00 7.302757635256246216e-01
1.031668880898071849e+00 6.627070841437830984e-01
9.995554819437659777e-01 6.866931470031391038e-01
9.696896212456476150e-01 7.597104273731762891e-01
9.855239098106066686e-01 7.894587981930598630e-01
1.014670397158926818e+00 8.047612678015082510e-01
1.013000210109451737e+00 7.976154653873186451e-01
9.876476086407612875e-01 8.260743278993528671e-01
1.006204535719981141e+00 7.998507106515447829e-01
9.810037471274661858e-01 8.529503089099250701e-01
9.937101983235520075e-01 8.775333244101948260e-01
9.384089845021760246e-01 9.255446774894849904e-01
8.808868114712034014e-01 9.688295056297371310e-01
9.011617335943438167e-01 9.643876278584171402e-01
9.059316082500288303e-01 9.663238122290653820e-01
9.546515390606227225e-01 8.693293260336428796e-01
9.704374573061390619e-01 8.762694195422078280e-01
9.786225547023507110e-01 8.348183812424462280e-01
9.804909195038178371e-01 7.957430686643192086e-01
9.436680304339430947e-01 7.766774088788158670e-01
9.560176643545394981e-01 7.645562844004614167e-01
9.869877969060711909e-01 7.799749267404422204e-01
9.809014481327460455e-01 7.832688549070868644e-01
9.990636725468388102e-01 8.243714518667679680e-01
1.001994291197468190e+00 8.043203972018586612e-01
1.031627805731295311e+00 7.844612621721452905e-01
1.034555436960312713e+00 7.202928564281495527e-01
1.044494724124197971e+00 7.125842435094750238e-01
1.048762321959469723e+00 7.066908020164073267e-01
1.049308023642631316e+00 6.444951748320928431e-01
1.021600522175942549e+00 7.239903241080379859e-01
1.008402894407831152e+00 7.525923529035641879e-01
9.887171581710950674e-01 7.597705812726514019e-01
9.967141939660281169e-01 7.859974610707796128e-01
1.003808111110067403e+00 7.949525491210569506e-01
9.540994432194125352e-01 8.731163495119800277e-01
9.726763730003581410e-01 8.299746810777852701e-01
9.473944025188241191e-01 9.020318933548147067e-01
9.934431152317726443e-01 8.491549583022063308e-01
9.813958564113971494e-01 8.806151644790671806e-01
9.271905649897917989e-01 9.269200922981482016e-01
9.235592942425887575e-01 9.111617875480049200e-01
8.721701679163637033e-01 1.036607499644254027e+00
9.171798763915174346e-01 1.025890006019454681e+00
9.124049837005403507e-01 9.993716646422886596e-01
9.217076785645857973e-01 9.790697759734873218e-01
9.691478132327524531e-01 8.955033795127048668e-01
9.665305946560697192e-01 9.026137984229301026e-01
9.903820934557501232e-01 8.551337716489626484e-01
9.819038368365076153e-01 8.430120538718826051e-01
9.523758916453450851e-01 7.774964844472777026e-01
9.652761444621338338e-01 7.395280504786670983e-01
9.898633830524943278e-01 7.752911767277087529e-01
9.898027462852737601e-01 7.957193234240744761e-01
1.019295900469710636e+00 8.045366991024900383e-01
1.013450183923683356e+00 8.471138227585162106e-01
1.033371441618086584e+00 8.260244063887678401e-01
1.028304780501515081e+00 8.092412721091091221e-01
1.072457475874702304e+00 6.909470638211008264e-01
1.065485038651898808e+00 6.887637507626687139e-01
1.062109446347684782e+00 6.710984015445260464e-01
1.082535938518980556e+00 6.379955996223021231e-01
1.019111826786706310e+00 7.562257663514044825e-01
1.017398825024394604e+00 7.233354941018035333e-01
1.012058529215433822e+00 7.405451711003431248e-01
9.571882139200058592e-01 8.244348832991955645e-01
9.837742407484176832e-01 8.240325171504755408e-01
1.004251593058950398e+00 8.327270366334238449e-01
9.300280289205633544e-01 9.056381891548506147e-01
8.870066003531852372e-01 9.465525929712986786e-01
9.065079952786209150e-01 9.246010722709838703e-01
9.268351935433793987e-01 9.089648349572263530e-01
9.761441913263957382e-01 8.449051211408137307e-01
9.407917657867047589e-01 9.333843496333856793e-01
9.260307002849056390e-01 8.953021503900077116e-01
8.981725226792991457e-01 9.381694626819170324e-01
9.031986986400277750e-01 1.063168657942743067e+00
9.138729779096322892e-01 1.009592343468932896e+00
8.930027977395209593e-01 1.021063739613168320e+00
9.096784081643541908e-01 9.952331711305610895e-01
9.503240179854938185e-01 9.281866558746676432e-01
9.693518516397723328e-01 9.022862304092771346e-01
9.775571265758735695e-01 8.766143054338613183e-01
9.765643479415038186e-01 8.599310711247079020e-01
9.803550024327992718e-01 8.608560326415239938e-01
9.644298031450209141e-01 7.965454892495422712e-01
9.829990392365123286e-01 7.092766391940297233e-01
1.001662597756901363e+00 7.985907739277556816e-01
9.940027013026684344e-01 8.203461481834235514e-01
1.015127956566577838e+00 8.096776204396098908e-01
1.020926241884602570e+00 8.562105856328665610e-01
1.019101541184002979e+00 8.283921413129636813e-01
1.071845065850197010e+00 7.757613822449624941e-01
1.059415320621396317e+00 7.481144797758209064e-01
1.063896332431724989e+00 7.295967874458557656e-01
1.070715889792269504e+00 6.911928135822171804e-01
1.070232539151317219e+00 6.872510016559029156e-01
9.891435182171836038e-01 7.888374673114357805e-01
9.678216712379480446e-01 7.906237592725617880e-01
9.938775492451550342e-01 7.633119385186162287e-01
9.819585084139939024e-01 7.566323576875869650e-01
1.003355227453136322e+00 7.864464073638176567e-01
9.736329768144413865e-01 8.351645908623451797e-01
9.788528504140509012e-01 8.459218477733626562e-01
9.370981288693223110e-01 8.801048143981036187e-01
