# This is the data for the Hubble and q0 maps for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.7304, zup= 0.1, zdown= 0.01
# 
#  h0 h0_err q0 q0_err
7.249463308987015298e-01 2.134429433204073495e-03 -1.013028510707110863e+00 1.552632214858591098e-01
7.247442424066639077e-01 2.132271068724103484e-03 -1.060004489094156677e+00 1.552068837112032529e-01
7.239701800549513955e-01 2.132843948005652863e-03 -1.063941295314716706e+00 1.557965778205694929e-01
7.251536287230752054e-01 2.132097956815415859e-03 -9.867434926856326616e-01 1.000000000000000000e+00
7.254665421028347883e-01 2.138740550454428652e-03 -9.906148397639450431e-01 1.533918624715877310e-01
7.277846145489580421e-01 2.195110646939303026e-03 -8.291186175417347703e-01 1.628881350137214579e-01
7.284076503191236895e-01 2.197262851151486705e-03 -8.133343956838994249e-01 1.623069519723175091e-01
7.291258168904700687e-01 2.222352822006022632e-03 -7.519489245006210076e-01 1.643977828650117490e-01
7.294280281450817860e-01 2.223326486856668990e-03 -7.033392818592644202e-01 1.643760452957103158e-01
7.297649057334285594e-01 2.228082788600478040e-03 -6.919059673621207329e-01 1.645241482937328525e-01
7.295066540800496657e-01 2.228680412907974116e-03 -7.006795554885730803e-01 1.648399977632118429e-01
7.289880322962577486e-01 2.218142514331449162e-03 -7.308692233334843635e-01 1.646064105389782317e-01
7.294510949309066516e-01 2.214241027156544413e-03 -6.866310199346538079e-01 1.642674436709069541e-01
7.284085367138318778e-01 2.219671952485751613e-03 -7.669917012966560588e-01 1.647664996230864820e-01
7.280314234370870441e-01 2.216082335544602815e-03 -8.029876094057574187e-01 1.645591589434327873e-01
7.286024964656324654e-01 2.223192184782519284e-03 -7.501872738235877414e-01 1.657988523436913775e-01
7.281403817168682346e-01 2.213504048267140104e-03 -7.852690068134080548e-01 1.645649350805572786e-01
7.288236100945338913e-01 2.193354557601633493e-03 -6.938605278788811948e-01 1.611220624247762523e-01
7.286211672215138213e-01 2.155775806945870766e-03 -7.130163272097833627e-01 1.542522290734650026e-01
7.284426628694569139e-01 2.138472794736253572e-03 -7.030323693756377335e-01 1.521860593791638794e-01
7.283945769756032806e-01 2.156716150212576680e-03 -7.392330809825887750e-01 1.526807495121610958e-01
7.282495210664318153e-01 2.145598482506766175e-03 -7.512909495274566751e-01 1.516551544109611405e-01
7.270854902535783815e-01 2.137976260413741118e-03 -8.153243287241395132e-01 1.532802627680804053e-01
7.264539260947122656e-01 2.141548460884512908e-03 -8.512819584425289632e-01 1.538979119420811059e-01
7.260515062631631711e-01 2.148118071553715720e-03 -8.801153130308412287e-01 1.529800515479455003e-01
7.259426490460536563e-01 2.144742142693232493e-03 -8.913002502366457191e-01 1.538019728417477083e-01
7.265798419389817298e-01 2.126164679503607293e-03 -8.547215418754389171e-01 1.530731225290145048e-01
7.263227180947628980e-01 2.146373840196942433e-03 -8.969551828852162512e-01 1.550487747666197402e-01
7.264696591912036538e-01 2.147423827838077035e-03 -8.825582607724407058e-01 1.559635773077718557e-01
7.247429303086760921e-01 2.121102906675754150e-03 -1.042520960927426632e+00 1.547997155962081706e-01
7.255962752784728131e-01 2.128588763434142994e-03 -9.720419570039360302e-01 1.525753396329427580e-01
7.247515409875654457e-01 2.141704300474711435e-03 -1.020175070965980035e+00 1.560636593858983068e-01
7.242384501178705802e-01 2.137886313964484052e-03 -1.039256438037871932e+00 1.561112841041321919e-01
7.247770196236101858e-01 2.154138791927586762e-03 -1.055624308889177909e+00 1.581539802325190314e-01
7.256791694327525688e-01 2.165868586217228019e-03 -1.013431917317893394e+00 1.591444456773256078e-01
7.277993999828906713e-01 2.201647523873678965e-03 -8.289468152526265898e-01 1.631094187936026341e-01
7.287666910184631419e-01 2.215520323024344155e-03 -7.852958032663822641e-01 1.639521731437171559e-01
7.295729152854895094e-01 2.235543834151850016e-03 -7.049992625311763961e-01 1.651658764506419019e-01
7.299819863790215635e-01 2.224883143483662000e-03 -6.705605165540030610e-01 1.647737221686730036e-01
7.304401715246834348e-01 2.230157184686669142e-03 -6.522845472434534164e-01 1.656749723639209804e-01
7.302721003603286354e-01 2.234754693072044454e-03 -6.651214771982476570e-01 1.655912719519470888e-01
7.297292561154238300e-01 2.222989254109110357e-03 -6.967320535684002891e-01 1.651637539539291544e-01
