# This is the data for the dw statistics for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.7304, zup= 0.1, zdown= 0.008
#  dw_up dw_down
1.844043050140979245e+00 1.556798045110022732e+00
1.889376783766235857e+00 1.541025289978942281e+00
1.813010998987592437e+00 1.474413671221063149e+00
1.879316881153866303e+00 1.425200192947965183e+00
1.844448519365693429e+00 1.616644667392767909e+00
1.873114700832598789e+00 1.515526978241399148e+00
1.861398366526287651e+00 1.579365664487509147e+00
1.861666704936240757e+00 1.454028024326034618e+00
1.795556566277832111e+00 1.457607560622466547e+00
1.792602788152341864e+00 1.507918935714001263e+00
1.837557945307175533e+00 1.515396556175965914e+00
1.847127839266383242e+00 1.550296218472017262e+00
1.837774058025195112e+00 1.593798761014775911e+00
1.816878691117387534e+00 1.549646099432825608e+00
1.843865618902076120e+00 1.534365971042082721e+00
1.868260585696280840e+00 1.601004303890837255e+00
1.878603403806223371e+00 1.509318860067822676e+00
1.835072878403626095e+00 1.429564109715281139e+00
1.807072592869520822e+00 1.504710136866111991e+00
1.784017243493092542e+00 1.446269867012936805e+00
1.826672687464347300e+00 1.517968656474012912e+00
1.826017768223825222e+00 1.542690700893263100e+00
1.861590622597562028e+00 1.613098875238496044e+00
1.827682934086198863e+00 1.565416245824847508e+00
1.784824421056507626e+00 1.564633850544437266e+00
1.819192185797503525e+00 1.485141779288810415e+00
1.842955231043105657e+00 1.515019393405014014e+00
1.862763127834351717e+00 1.535199305403656123e+00
1.856939083346476949e+00 1.503271161483292095e+00
1.885900256116250118e+00 1.549396217680314214e+00
1.881183454098555918e+00 1.566477699720071781e+00
1.851782258065950426e+00 1.557800984013273604e+00
1.851032143705029220e+00 1.430147380343097296e+00
1.812769478998357497e+00 1.448549996625295933e+00
1.788386621909353380e+00 1.487764933888594765e+00
1.814796475163204637e+00 1.497531961258798505e+00
1.839896914502993974e+00 1.536018348853769533e+00
1.837268089295457152e+00 1.497084651853080928e+00
1.776957396343295414e+00 1.636640234136137018e+00
1.792884197843152227e+00 1.541846466995210330e+00
1.761030435481384382e+00 1.509447212158975926e+00
1.755993591743264748e+00 1.554395458398653229e+00
1.839450806371081937e+00 1.561995087076414768e+00
1.828991097177492087e+00 1.511318960808604173e+00
1.822085185486298275e+00 1.552311124531285724e+00
1.826817515502955569e+00 1.626383562198336019e+00
1.843237348024383770e+00 1.556000456554494260e+00
1.870818094383604802e+00 1.528609206277848687e+00
1.814244479211359451e+00 1.511531938621110793e+00
1.820255920949293449e+00 1.476861806190314708e+00
1.828172524409141797e+00 1.484205801088864796e+00
1.796206276337641405e+00 1.417523857944998911e+00
1.800664900451407702e+00 1.430100171370352058e+00
1.799687383223778303e+00 1.499904278957581605e+00
1.816589957254874710e+00 1.496460913552394967e+00
1.825036891220767288e+00 1.529357810023680431e+00
1.794533622761993907e+00 1.555626950728600910e+00
1.805318552795720732e+00 1.674998823324772568e+00
1.782203255468817860e+00 1.606559706697652690e+00
1.791751859784127321e+00 1.583208456925804919e+00
1.741961165912291554e+00 1.539333690759002948e+00
1.743563425156188895e+00 1.513121078690708554e+00
1.744143084606131877e+00 1.487262144977204548e+00
1.771001445240765859e+00 1.661142015390869142e+00
1.818920371016694348e+00 1.502206143549281503e+00
1.806969038880815281e+00 1.616166155104888258e+00
1.827168394138341201e+00 1.596178640878801902e+00
1.824851919091446506e+00 1.612772963498319667e+00
1.859856140818199277e+00 1.696016272988720486e+00
1.758622952098195524e+00 1.575360083322298710e+00
1.752990543325865458e+00 1.628886340974987856e+00
1.802481524369614840e+00 1.486673874958321706e+00
1.817353324216343768e+00 1.498552254187929256e+00
1.789686250730913475e+00 1.528749008709237023e+00
1.772457020053200827e+00 1.436983960256039694e+00
1.754292260659095160e+00 1.545439244163934411e+00
1.797033169486174087e+00 1.452315519427484380e+00
1.817383828097301368e+00 1.491510339234364713e+00
1.824668069579368446e+00 1.529283954024223791e+00
1.816999888087384107e+00 1.523465109111831417e+00
1.785424946714050831e+00 1.629953062403260322e+00
1.792491867490274560e+00 1.622586091761104132e+00
1.787652748005316372e+00 1.629325596600078363e+00
1.773293856917047107e+00 1.616719650263573227e+00
1.770141204866801266e+00 1.472534036951018477e+00
1.734964257982077651e+00 1.504181266609272871e+00
1.709396729390519454e+00 1.591783971757800398e+00
1.758859621921885497e+00 1.607414986255024658e+00
1.796709005963279315e+00 1.651216980746009089e+00
1.784022770252762680e+00 1.649537847477339669e+00
1.708726979769905174e+00 1.737490589107574257e+00
1.737917304326757062e+00 1.694062838393446846e+00
1.727261793061442008e+00 1.769696634580531169e+00
1.803758827460912206e+00 1.715170924321372192e+00
1.816237152931469589e+00 1.612917517156641223e+00
1.758099194299285406e+00 1.621516899311326698e+00
1.741397871292364341e+00 1.686098781334333330e+00
1.759189267086221475e+00 1.670231522797525514e+00
1.842285800923177730e+00 1.528039881811208200e+00
1.850749937446412918e+00 1.568541870904885727e+00
1.815393425122608040e+00 1.565546091740839252e+00
1.786611406353509013e+00 1.542164343080234756e+00
1.706159413395422320e+00 1.521203162838117962e+00
1.784862208713523968e+00 1.417090802521199011e+00
1.804036164377108342e+00 1.500284926449068967e+00
1.802556166454208020e+00 1.493803760951608162e+00
1.843700307094154889e+00 1.560286296846006282e+00
1.839055826493120049e+00 1.537024668604555666e+00
1.846183673208226628e+00 1.602121150924445736e+00
1.813917241105037714e+00 1.564080529338943704e+00
1.815257046084117309e+00 1.568840587142732446e+00
1.806741097936968909e+00 1.562532918564966344e+00
1.786698111265950795e+00 1.456592334873120675e+00
1.775222232858338245e+00 1.543321234493855165e+00
1.792780455497012593e+00 1.538314067535927920e+00
1.742117718767614010e+00 1.585580717995658029e+00
1.780780401553992753e+00 1.590922140280567554e+00
1.773962761282837475e+00 1.640841407179409073e+00
1.722503254107327297e+00 1.719241050811028737e+00
1.725154745116591171e+00 1.672202484868105632e+00
1.666986691422144284e+00 1.854945128008254951e+00
1.732104257517147694e+00 1.786194355116276666e+00
1.758405355602961517e+00 1.762919725115342118e+00
1.735590301485392173e+00 1.710398647150819906e+00
1.793401914058927682e+00 1.579836945843565932e+00
1.732382113079080410e+00 1.742726436021240666e+00
1.786519004286014622e+00 1.758458460425131653e+00
1.786044635078029685e+00 1.703272264301586736e+00
1.794199891054456764e+00 1.686487923595654470e+00
1.864792958987524507e+00 1.579314406833839390e+00
1.838618321901720698e+00 1.617158530776945602e+00
1.821044546901361416e+00 1.630727244434428291e+00
1.799283779667666394e+00 1.617302708227845720e+00
1.710819917319671646e+00 1.539408146338109518e+00
1.722211618165718328e+00 1.490715526083698839e+00
1.799393521156159581e+00 1.506507853813401798e+00
1.822436827487403876e+00 1.512460903543661805e+00
1.852449127722495481e+00 1.564280478501158367e+00
1.883154844635119396e+00 1.583489049906385393e+00
1.858727497306110088e+00 1.650839499080117845e+00
1.841777776471501094e+00 1.646263706693866791e+00
1.844746917458649937e+00 1.535323620743180628e+00
1.839755495401933061e+00 1.531379834101395776e+00
1.807588797717351037e+00 1.508410752432091551e+00
1.846108529503005080e+00 1.431045512828307720e+00
1.782676758947166151e+00 1.581581339103937944e+00
1.763970336062275601e+00 1.557535562042919652e+00
1.777997580821109258e+00 1.542043823287285287e+00
1.706204142221275033e+00 1.670387260713729560e+00
1.760051153569612170e+00 1.654919990344233538e+00
1.797433767807554261e+00 1.665867395620755032e+00
1.715726141533062243e+00 1.711684796892700700e+00
1.630915415558106485e+00 1.798295987263625717e+00
1.636593904684545686e+00 1.807531352947340242e+00
1.649174785413479283e+00 1.828633089302885262e+00
1.734903274800306816e+00 1.711328030587926818e+00
1.768012474510541887e+00 1.711129013175835878e+00
1.717845687974049795e+00 1.677829009832837226e+00
1.771705224244922716e+00 1.599424231214069847e+00
1.779627579828306549e+00 1.799080415730867522e+00
1.790783867487699466e+00 1.715721795425364293e+00
1.768376691392787858e+00 1.699542258781959969e+00
1.788630883153253803e+00 1.682274922340245782e+00
1.859725243893185498e+00 1.592266259566336384e+00
1.844790130274341466e+00 1.612471959263925392e+00
1.847629428091726034e+00 1.585605378166143664e+00
1.801478816413060402e+00 1.630838557296703684e+00
1.798665313216769812e+00 1.647954287819941799e+00
1.731025675758416149e+00 1.585929156940451001e+00
1.742829369961000463e+00 1.444904013718705471e+00
1.817796954320586966e+00 1.555381259596309240e+00
1.795634901476372836e+00 1.610638994409607783e+00
1.851648483084253893e+00 1.565145058967713609e+00
1.884985838141282510e+00 1.618598013693233861e+00
1.849444251346467727e+00 1.619305139343491406e+00
1.885926424555545378e+00 1.612840591889727060e+00
1.829055805997155781e+00 1.624575252717297191e+00
1.801374544584630977e+00 1.670953857240317308e+00
1.805694506315499881e+00 1.598188172551743946e+00
1.817640196450723389e+00 1.550815231661773597e+00
1.739103264446234309e+00 1.631297192803016882e+00
1.751214470724751671e+00 1.551410447676047522e+00
1.746367490960630597e+00 1.582415372229329265e+00
1.725321202898496553e+00 1.558052526698629592e+00
1.763290138442897836e+00 1.622076556649144408e+00
1.747551582046944052e+00 1.665089168321872481e+00
1.777681952912026686e+00 1.647758285535421585e+00
1.724558455274951552e+00 1.670626521278644638e+00
1.695114068335239699e+00 1.652637081442515532e+00
1.637698598007550688e+00 1.796200491657026443e+00
1.641009464155090969e+00 1.749865810603447924e+00
1.640216855721907230e+00 1.776774083053874964e+00
1.675638194848772189e+00 1.771775887139324990e+00
1.767181456316264443e+00 1.716445212325178771e+00
1.742802625897494906e+00 1.710753475117382960e+00
1.742146576081936349e+00 1.668098387616943956e+00
1.797386462143752306e+00 1.768275429248172825e+00
1.768312406545828219e+00 1.810845993069631454e+00
1.762190202831898755e+00 1.729866762440861461e+00
1.782041540236688704e+00 1.739756137551378368e+00
1.778288060126579140e+00 1.721870447157838324e+00
1.783389417609806626e+00 1.711651296341864636e+00
1.847119348374745895e+00 1.602600567508732698e+00
1.838357620529755598e+00 1.669110490279012593e+00
1.841601098952482474e+00 1.614034471891936384e+00
1.789436070060954398e+00 1.618350849771979627e+00
1.764806816044493853e+00 1.646551501883244395e+00
1.721009859022309074e+00 1.589288540886352852e+00
1.755443132275450235e+00 1.474087118928381068e+00
1.796377745804989212e+00 1.621574403678332832e+00
1.789631459966098737e+00 1.585298872486904598e+00
1.801536316633946866e+00 1.574663279584314290e+00
