# This is the data for the Hubble and q0 maps for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.678, zup= 0.1, zdown= 0.008
#
#  h0 h0_err q0 q0_err
7.278803327782400467e-01 2.453926270602066299e-03 2.542762772674378002e+00 1.647164160644680742e-01
7.277331367754223956e-01 2.457662932033026059e-03 2.534009516680556739e+00 1.656919471890002937e-01
7.279611165603366851e-01 2.453176552307391282e-03 2.554488900372521964e+00 1.639174832087605116e-01
7.274822939986386183e-01 2.464206700417455841e-03 2.500021249680992153e+00 1.658412991889251231e-01
7.271608226837613653e-01 2.438228450093752383e-03 2.487507700524882015e+00 1.642549211898698958e-01
7.279065640693281880e-01 2.441367092842092797e-03 2.494627741935170118e+00 1.633409966056036666e-01
7.274053643942484104e-01 2.435901554135411901e-03 2.427971272817798454e+00 1.604608410746027614e-01
7.267502712806888088e-01 2.425716086950441275e-03 2.408910054204157269e+00 1.596554371269823525e-01
7.268204803195000840e-01 2.417312372997817115e-03 2.423111640608672790e+00 1.591645976677225627e-01
7.261261098929548963e-01 2.415501023934364926e-03 2.392833728116031899e+00 1.594882812575572906e-01
7.264383335083660631e-01 2.411569721336787736e-03 2.415710952931256372e+00 1.595428073901796195e-01
7.256708160535605412e-01 2.403334754780724059e-03 2.364585687211625764e+00 1.587611246832328626e-01
7.264218639360100482e-01 2.390120344877552216e-03 2.425017829191373764e+00 1.591273372162589628e-01
7.262418096954877944e-01 2.412706908584723656e-03 2.412548374920960637e+00 1.596964143386573332e-01
7.263571016037001504e-01 2.406959780769482235e-03 2.422981227139930915e+00 1.591788898096030691e-01
7.266180283101195680e-01 2.404920112324846100e-03 2.478105863969324751e+00 1.593291023758279246e-01
7.257586334461243460e-01 2.407143902591053156e-03 2.457543530786261865e+00 1.620590815898344805e-01
7.258385248573123727e-01 2.405510515683266515e-03 2.458089678033534398e+00 1.621733011565816285e-01
7.257930574908045829e-01 2.424155242046609204e-03 2.448502675627773240e+00 1.632023718625559006e-01
7.276507249503447738e-01 2.429226143159883295e-03 2.525291002791727468e+00 1.628789171262241264e-01
7.277311320350758894e-01 2.445816394426971515e-03 2.527625719894994294e+00 1.645057524967234175e-01
7.280340654396014743e-01 2.451425788508543747e-03 2.560311561899528243e+00 1.665578159372367584e-01
7.276929925774060504e-01 2.472724818825909349e-03 2.523849760014734933e+00 1.660983275241773860e-01
7.272726962671539619e-01 2.477469334064264905e-03 2.475967677628419406e+00 1.656880836510209731e-01
7.269995097846635446e-01 2.463755549625034486e-03 2.449218678501976498e+00 1.649033085245830421e-01
7.270349222715699611e-01 2.470673460457525027e-03 2.430209979412790933e+00 1.651488312249991819e-01
7.264526529212106398e-01 2.459891204352224019e-03 2.401832384014557231e+00 1.649643762446166562e-01
7.261239981936365995e-01 2.430528397516687478e-03 2.367473756627000547e+00 1.606178499005992688e-01
7.264582950711078180e-01 2.422265584560351782e-03 2.396956915083578110e+00 1.596166425446059745e-01
7.270029205586608922e-01 2.422592038069746895e-03 2.432482565336558267e+00 1.593358120596963523e-01
7.263757383755737873e-01 2.409464653101301389e-03 2.405583580117786724e+00 1.590691924071758190e-01
7.265658089007707154e-01 2.408691824441813560e-03 2.389459045745199628e+00 1.586978229928852624e-01
7.261314080873111365e-01 2.408007616638571137e-03 2.379252592022404134e+00 1.587274524787654351e-01
7.258944703659175879e-01 2.401468533604229731e-03 2.375867229371579459e+00 1.585564801191615691e-01
7.263172066370116031e-01 2.399492612374546936e-03 2.420565868257931630e+00 1.590248577121923523e-01
