# This is the data for the Hubble and q0 maps for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.7304, zup= 0.1, zdown= 0.008
#
#  h0 h0_err q0 q0_err
7.266341132232084776e-01 2.449833790699647469e-03 -9.793416278374442729e-01 1.000000000000000000e+00
7.265794520174325699e-01 2.438196584291822070e-03 -9.602958931358781536e-01 1.769264433613824405e-01
7.267956096347081285e-01 2.437706060990977881e-03 -9.492652005323738429e-01 1.797284591446902946e-01
7.270158292915661624e-01 2.452820390472984762e-03 -9.389460183698109530e-01 1.802661138664347351e-01
7.270898314998786027e-01 2.433889998114830647e-03 -9.408829795912798666e-01 1.776097000405754134e-01
7.268953467994113682e-01 2.430767651058170394e-03 -9.610199420365996836e-01 1.755707132574003126e-01
7.268916451936402456e-01 2.426030095752340979e-03 -9.436637605583428901e-01 1.746382420045110850e-01
7.268829677998929206e-01 2.426741839036922026e-03 -9.283066526486614123e-01 1.759975792869953592e-01
7.269308009936417125e-01 2.433689183742765091e-03 -9.285591100019157107e-01 1.791990646442059298e-01
7.268388990295148178e-01 2.439021607218893641e-03 -9.387639291188284441e-01 1.797688613029178317e-01
7.269248286042043761e-01 2.443995175060130910e-03 -9.377058549042347479e-01 1.798702421688771480e-01
7.266962534406845586e-01 2.451624522658161880e-03 -9.551809174215037945e-01 1.795693350944713440e-01
7.276051705409126713e-01 2.438769372236911787e-03 -9.236408927821920800e-01 1.774253173278124152e-01
7.272284039144184531e-01 2.434977926676712857e-03 -9.344201049192121245e-01 1.772988984778169907e-01
7.270378151336012174e-01 2.424173456477462987e-03 -9.390842037148228183e-01 1.745453733082284187e-01
7.268427182646048923e-01 2.416780816557188502e-03 -9.455730695766039196e-01 1.744021692247106625e-01
7.272800325695232271e-01 2.426095621530471261e-03 -9.146607165758318114e-01 1.743123222979987008e-01
7.268983361147400846e-01 2.427300911701181854e-03 -9.270004163611033077e-01 1.760517903474604351e-01
7.269585002412504160e-01 2.412226032631978670e-03 -9.131394811771532671e-01 1.744222953595789272e-01
7.267396252847675431e-01 2.430454982397071972e-03 -9.197150628219389334e-01 1.779725421892833503e-01
7.263062958337105357e-01 2.435582342808595684e-03 -9.696086651064563799e-01 1.794947161980511574e-01
7.270404694985974636e-01 2.446447206606833236e-03 -9.292556389818110718e-01 1.801438101554015403e-01
7.275848281117637262e-01 2.464740961991410996e-03 -9.171364983108937219e-01 1.810212566184138949e-01
7.272248609695954880e-01 2.469188095464746983e-03 -9.498857841885230968e-01 1.815543417491141120e-01
7.274524440474471332e-01 2.445658664902819728e-03 -9.451615722064605762e-01 1.784802147364407399e-01
7.279515060518536584e-01 2.444682581225090297e-03 -9.090435328999229014e-01 1.775519258769522324e-01
7.266290605855059148e-01 2.431406490774102019e-03 -9.692865634451357515e-01 1.751825636338062986e-01
7.264413240024237828e-01 2.422987528124659600e-03 -9.660237783441427695e-01 1.738248063264496157e-01
7.261986222004994662e-01 2.422305550685577031e-03 -9.796276395687776306e-01 1.743201902228855016e-01
7.265599623979321908e-01 2.411762693364860339e-03 -9.432215218540777046e-01 1.733905898817129920e-01
7.265783937228977862e-01 2.417541254623360638e-03 -9.488889348757284514e-01 1.751014088974389982e-01
7.269158290799996314e-01 2.415502344842043302e-03 -9.158812098684125935e-01 1.744900433444236121e-01
7.267663905177301764e-01 2.419456281651358436e-03 -9.207473906348164761e-01 1.746570458565739614e-01
7.265459790190067491e-01 2.423070368495344306e-03 -9.274350534562173509e-01 1.776498878494322253e-01
7.258925432298487523e-01 2.411625718278563504e-03 -9.814188778578336603e-01 1.764916999465219183e-01
7.255963904564330935e-01 2.427926848930774158e-03 -1.016760696317500878e+00 1.790220123627190296e-01
7.278803327782400467e-01 2.453926270602066299e-03 -8.873511302543769519e-01 1.793050130424473643e-01
7.277331367754223956e-01 2.457662932033026059e-03 -9.023214808663837516e-01 1.799595445272539618e-01
7.279611165603366851e-01 2.453176552307391282e-03 -8.906855658314020152e-01 1.799052236965970331e-01
7.274822939986386183e-01 2.464206700417455841e-03 -9.390090880240226090e-01 1.804419395422429129e-01
7.271608226837613653e-01 2.438228450093752383e-03 -9.509036443892548984e-01 1.786867050532596479e-01
7.279065640693281880e-01 2.441367092842092797e-03 -9.187573166941759295e-01 1.777529373606361596e-01
7.274053643942484104e-01 2.435901554135411901e-03 -9.325865810982930659e-01 1.745473456435897019e-01
7.267502712806888088e-01 2.425716086950441275e-03 -9.444406645773152364e-01 1.736075079665617693e-01
7.268204803195000840e-01 2.417312372997817115e-03 -9.318060864844045499e-01 1.730944998111723365e-01
7.261261098929548963e-01 2.415501023934364926e-03 -9.660978715983330467e-01 1.733730918352862638e-01
7.264383335083660631e-01 2.411569721336787736e-03 -9.536515725704615143e-01 1.734727748277468395e-01
7.256708160535605412e-01 2.403334754780724059e-03 -1.000411540167126301e+00 1.000000000000000000e+00
7.264218639360100482e-01 2.390120344877552216e-03 -9.702587136403729717e-01 1.730274546222932142e-01
7.262418096954877944e-01 2.412706908584723656e-03 -9.631042609552474820e-01 1.736437001436087202e-01
7.263571016037001504e-01 2.406959780769482235e-03 -9.532670056742742482e-01 1.731144380568324648e-01
7.266180283101195680e-01 2.404920112324846100e-03 -9.072950864636790680e-01 1.734448054060769850e-01
7.257586334461243460e-01 2.407143902591053156e-03 -9.859273772779861833e-01 1.760890404172256174e-01
