# This is the data for the Hubble and q0 maps for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.7304, zup= 0.1, zdown= 0.01
# 
#  h0u h0u_err h0d h0d_err q0u q0u_err q0d q0d_err
7.257300544737244063e-01 2.092873637006220210e-03 7.372003034928495957e-01 3.191085456248557786e-03 -1.001249267369979989e+00 1.474364744542679961e-01 1.303201223758910232e-01 2.387153706333564329e-01
7.286993460326470773e-01 2.182404615043100852e-03 7.289208136604775623e-01 2.909624323129761207e-03 -7.600449729740534899e-01 1.623965143662968180e-01 -6.908599592541793122e-01 1.984462964776292360e-01
7.277944154276714261e-01 2.193532747081684484e-03 7.305276737483196170e-01 2.896826112227369673e-03 -8.475764549090126776e-01 1.646410959876348779e-01 -5.561161920144983561e-01 1.951945915467090120e-01
7.279303364085973893e-01 2.108692451555545678e-03 7.315156297729857870e-01 3.124303167247665519e-03 -7.820139146712287159e-01 1.498263598903991634e-01 -5.323318052511651910e-01 2.291027825560839615e-01
7.253414713446203477e-01 2.093020669842735222e-03 7.384033805363484637e-01 3.209808116645067062e-03 -9.853880499681202387e-01 1.481136929608356245e-01 6.172140232716531727e-02 2.354778126995104304e-01
7.248910723497472564e-01 2.102383790011906790e-03 7.384939822718266100e-01 3.163078796467256020e-03 -1.055019474161849047e+00 1.507383193378044051e-01 1.533841016049498629e-01 2.309719036754542265e-01
7.273882488144453040e-01 2.118619597249423066e-03 7.323840944308007694e-01 3.092055370061188094e-03 -8.674375045544234775e-01 1.515617458858720679e-01 -3.894539408574566042e-01 2.238698755890222436e-01
7.282158216780038051e-01 2.188121377080171244e-03 7.299921605591235263e-01 2.902035367293255563e-03 -7.870074480385943483e-01 1.641488338731308672e-01 -6.409476598969723327e-01 1.964175534489519259e-01
7.294034954569682538e-01 2.201666984616704268e-03 7.275114431541296334e-01 2.870489600796968972e-03 -7.100158831962077866e-01 1.647187446325710236e-01 -7.648636414816937235e-01 1.960431201906802645e-01
7.281000503729603279e-01 2.193467108979185211e-03 7.297411120767537396e-01 2.884471406297236737e-03 -8.154541993784067966e-01 1.641266334560317341e-01 -6.168364115541712378e-01 1.955901841345405734e-01
7.272909041815432962e-01 2.145653772358220752e-03 7.319603341172578048e-01 3.009202237414231821e-03 -8.146594925773475993e-01 1.539430144183125959e-01 -5.176090477579851079e-01 2.162851458190273024e-01
7.264815238633943739e-01 2.095336164747847469e-03 7.358942743751073490e-01 3.188110511916246014e-03 -9.170745014268592010e-01 1.485327152201698642e-01 -8.857238200045447485e-02 2.348573255183364072e-01
7.251958191251046681e-01 2.094387798470260034e-03 7.393379471896018851e-01 3.227657291143375996e-03 -9.847225059445509077e-01 1.492537657264255690e-01 6.966238789889467320e-02 2.323005704896285162e-01
7.251310731606123161e-01 2.080984684243942888e-03 7.394436932192930412e-01 3.256051596717852038e-03 -9.939972276008335328e-01 1.474871009827530555e-01 1.268578110029627837e-01 2.381010309308430328e-01
7.247256830930633997e-01 2.099173857361143203e-03 7.388724910956850911e-01 3.190390215333777698e-03 -1.050642313615012258e+00 1.512561818839575078e-01 1.132383437650138769e-01 2.293930441781212304e-01
7.267007957135942497e-01 2.122245026254992138e-03 7.341921318264221785e-01 3.067685827479116160e-03 -9.086853259150824424e-01 1.518989097981837399e-01 -2.836953489909327386e-01 2.215586004916102192e-01
7.273111302278989498e-01 2.179802714084457145e-03 7.312160242383394237e-01 2.909683587464267050e-03 -8.712943689241301470e-01 1.630878199044936416e-01 -5.459368298099204209e-01 1.974735174337330368e-01
7.280403981997278784e-01 2.188835792989853556e-03 7.300416238682930770e-01 2.886771404463637711e-03 -7.942582832518327862e-01 1.640496176286149466e-01 -6.535548684366598859e-01 1.967728242781766335e-01
7.286693886771005157e-01 2.194654013029307977e-03 7.290395461387083609e-01 2.862427665417636644e-03 -7.560486922492037909e-01 1.641108682941454233e-01 -6.910174308683123545e-01 1.961763402263382583e-01
7.288677833574448428e-01 2.213833917739438818e-03 7.282782366998653556e-01 2.839822244692364120e-03 -7.578416083242522916e-01 1.648446786565269384e-01 -7.097007261947100298e-01 1.956982169403843619e-01
7.283598738003661532e-01 2.202838048543112170e-03 7.290905055153463765e-01 2.848849009246098331e-03 -7.609742341242288211e-01 1.642647114417424004e-01 -7.093120651574963409e-01 1.947014400055689654e-01
7.273348540761414016e-01 2.152868556830666268e-03 7.319727041639718657e-01 2.983764909601695041e-03 -8.024510980034516017e-01 1.540805636726383931e-01 -5.224017161114034025e-01 2.158764275690238377e-01
7.270615647075628907e-01 2.106783449530671894e-03 7.331000405697364330e-01 3.132710899420717947e-03 -8.800266571715510411e-01 1.493706606330609254e-01 -2.929649745379287462e-01 2.313282404283601990e-01
7.270281675244371078e-01 2.089040432536528203e-03 7.344177617587005491e-01 3.212003712079701794e-03 -8.665286145540348484e-01 1.478330318843616431e-01 -2.186249053353893634e-01 2.376655386809729542e-01
7.263216317449612269e-01 2.128274734675056346e-03 7.365092132059263275e-01 3.178767367016546806e-03 -8.930825485948897802e-01 1.531682549794649295e-01 -1.880449884748180145e-01 2.237918427833842927e-01
7.253949666217158754e-01 2.113968457775648041e-03 7.386472721125734164e-01 3.185424521973177422e-03 -9.832755235371536395e-01 1.522719714480175457e-01 -4.505349733642129324e-03 2.230968378108440786e-01
7.244368789172324075e-01 2.094864423310944558e-03 7.401164217128934908e-01 3.218179766812047284e-03 -1.084399183320518212e+00 1.518819296658694695e-01 2.079425959730046014e-01 2.275022694177543381e-01
