# This is the data for the Hubble and q0 maps for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.7304, zup= 0.1, zdown= 0.01
# 
#  h0 h0_err q0 q0_err
7.264305168873963492e-01 2.208710687997963301e-03 2.481597124742199512e+00 1.645912819906053537e-01
7.270915949860563554e-01 2.188994234666261345e-03 2.497483079476530587e+00 1.611538786301873749e-01
7.275706316490415659e-01 2.151179920557355196e-03 2.522226559630663889e+00 1.542747181181601535e-01
7.280247446288663493e-01 2.133818825776452426e-03 2.546043062315848982e+00 1.521958189483343660e-01
7.285754899849913313e-01 2.152342015271211609e-03 2.577573265693143600e+00 1.527024932105648103e-01
7.285561531169901794e-01 2.141272059521230446e-03 2.569680750683570825e+00 1.516722904140895556e-01
7.278500765928805905e-01 2.133704495344761892e-03 2.547180934754086579e+00 1.532957720667253443e-01
7.272549758212467630e-01 2.137399464473259229e-03 2.478554841561487976e+00 1.539175862810823470e-01
7.271579933738648860e-01 2.144007935116915616e-03 2.452977165089468947e+00 1.529989666437885365e-01
7.276103086146142873e-01 2.140685327163300167e-03 2.473546653047109078e+00 1.538252242141508741e-01
7.267936143020831130e-01 2.122264543312330463e-03 2.418890854248115119e+00 1.530961573961807098e-01
7.266522370182544321e-01 2.142665280197423618e-03 2.403152576803597285e+00 1.550812544746326405e-01
7.268160531406723246e-01 2.143442585368686426e-03 2.386783630416629443e+00 1.559916356630541567e-01
7.267872054149756567e-01 2.117036580455925170e-03 2.436836488452866600e+00 1.547571522055520288e-01
7.265962812396599135e-01 2.124086158278928015e-03 2.425450175085482662e+00 1.525752775833152941e-01
7.271836577626011877e-01 2.137039931307120263e-03 2.486694332362193727e+00 1.561716998054340499e-01
7.269239757759922149e-01 2.133053380784786721e-03 2.464401212505899608e+00 1.562333865274548594e-01
7.272672176197494398e-01 2.149392295328805217e-03 2.465608862610804142e+00 1.582060372406608184e-01
7.277495964605855683e-01 2.160939208416885922e-03 2.493113721884071765e+00 1.606750363167815665e-01
7.273126328943841923e-01 2.196154451559100083e-03 2.482930010979353508e+00 1.631075148160041621e-01
7.264759095301763780e-01 2.209763726282730576e-03 2.387844752239471013e+00 1.639545343003340760e-01
7.261653954970017644e-01 2.229848087125783137e-03 2.395645021276825659e+00 1.651724003541911734e-01
7.270421866899665631e-01 2.220895547929349536e-03 2.459341804717690039e+00 1.647852089655162111e-01
7.263805214305651958e-01 2.226093394766536903e-03 2.425893663442721504e+00 1.656895814453043236e-01
7.260890976326238588e-01 2.230662668938265033e-03 2.427133467769037267e+00 1.656015877775455780e-01
7.256141492129243309e-01 2.219055926619271923e-03 2.391094111718091497e+00 1.651777071650897821e-01
7.256406506074932761e-01 2.216945745831800079e-03 2.391643977245330177e+00 1.646699582908610071e-01
7.257102628845474301e-01 2.213327398931295292e-03 2.458430080799589579e+00 1.643339090726997076e-01
7.260898686154698689e-01 2.216829458260582281e-03 2.489182647090409262e+00 1.648318102327387125e-01
7.262344824233835094e-01 2.222329521763046715e-03 2.482434255117626165e+00 1.660932527376777768e-01
7.264270365338009183e-01 2.210798318357274066e-03 2.485878240975018638e+00 1.652712505438813650e-01
7.273339501041198307e-01 2.199787848529530417e-03 2.510823109990357516e+00 1.641713322020904309e-01
7.267491310911287083e-01 2.193277961563783879e-03 2.488502627313376792e+00 1.611949404184596368e-01
7.273086190858899514e-01 2.198077270573375874e-03 2.506161093216663804e+00 1.610472850750514773e-01
7.277979852805849248e-01 2.140813825909017049e-03 2.539058104934388993e+00 1.523666420123198362e-01
7.286587957082132361e-01 2.154231946792198836e-03 2.574361357124808514e+00 1.524580066358580954e-01
7.291860779532602921e-01 2.156367315264594992e-03 2.600800942800117976e+00 1.515054003624623780e-01
7.292011509308335970e-01 2.162438644769989170e-03 2.602739122552140572e+00 1.514775076526830855e-01
7.285351632624860185e-01 2.131752369031938901e-03 2.556031398178163272e+00 1.519038930003820120e-01
7.272700613909537370e-01 2.142640671690939757e-03 2.474848978263364696e+00 1.528410134792344277e-01
7.281624258603582867e-01 2.134544670132693198e-03 2.464606515311040802e+00 1.524419395115512998e-01
7.278218150284667676e-01 2.146258182321195748e-03 2.477896228471383022e+00 1.540252287412974264e-01
7.271454964592949377e-01 2.156332450614287157e-03 2.469293454659880815e+00 1.548633010514124109e-01
7.267451480919921991e-01 2.127229872972682002e-03 2.419024013204412071e+00 1.536747231647196399e-01
7.267592840563221745e-01 2.127508083483475951e-03 2.383599249107952733e+00 1.548574544701277200e-01
7.274882193469105474e-01 2.150226281037538600e-03 2.472582675177132483e+00 1.573146279848392781e-01
7.268848164225734099e-01 2.129325674586883804e-03 2.454313599772259380e+00 1.558510877351451662e-01
7.268264461145117483e-01 2.149551149282331267e-03 2.452005163374649133e+00 1.548779877728483356e-01
7.273167680332237595e-01 2.146016215162653909e-03 2.487020296817149312e+00 1.543234971124384791e-01
7.265738299242620046e-01 2.148936197001631316e-03 2.413646665031311755e+00 1.551770737553902491e-01
7.270459528141831607e-01 2.153304125246599966e-03 2.441826176060840403e+00 1.581434222985428906e-01
7.277410266050650112e-01 2.159661202296889529e-03 2.484805402320557910e+00 1.609381200255276534e-01
7.274139885006966066e-01 2.207440514496711477e-03 2.487535622674801328e+00 1.636609973218062231e-01
7.270893663276223329e-01 2.203858505177547309e-03 2.459610270865028703e+00 1.631512338148575492e-01
7.270456349443922273e-01 2.228227794401039033e-03 2.461588813497991080e+00 1.647065388793425567e-01
7.262784024675982275e-01 2.234785221703806338e-03 2.394545292083150922e+00 1.655241896028143700e-01
7.266240110623051196e-01 2.226241370547862256e-03 2.453422353827401814e+00 1.657842359250959186e-01
7.268928053656064092e-01 2.246603146114874768e-03 2.467408785258211168e+00 1.671560772070012357e-01
7.262431142624643510e-01 2.249177757626488663e-03 2.432658995602051455e+00 1.669223120294658080e-01
7.254157418017004311e-01 2.242523682934880695e-03 2.392131692578216562e+00 1.670129514926675940e-01
7.253466346479514604e-01 2.216037032354404007e-03 2.370178372678588996e+00 1.650806069559300482e-01
7.256013930500150311e-01 2.202867642011804676e-03 2.414192479134599445e+00 1.644114913402789646e-01
7.262510261862975547e-01 2.212711488401639462e-03 2.480718783546040918e+00 1.643501553404231874e-01
7.259894364304305681e-01 2.220957512947578909e-03 2.456331148696640820e+00 1.656049565476558350e-01
7.265519141670638836e-01 2.233947532239536748e-03 2.481161033506402269e+00 1.677825308606306631e-01
7.269364011543236748e-01 2.216470863949248846e-03 2.509099190761290288e+00 1.652272248204880167e-01
7.274709138952396570e-01 2.202894093147201703e-03 2.527629274153996075e+00 1.641915124752062749e-01
7.269704949084704326e-01 2.214729834312737736e-03 2.502488074500141213e+00 1.636871577967998481e-01
7.273877448364273191e-01 2.205762070557946205e-03 2.525295434842981912e+00 1.603866877865332274e-01
7.283691743896059112e-01 2.140066758026247604e-03 2.555059300671194134e+00 1.514494724700512773e-01
7.285548267930070931e-01 2.161859315583176261e-03 2.573698527738852437e+00 1.517475205806444738e-01
7.286466560510189705e-01 2.163049879230830291e-03 2.569255628593243745e+00 1.504684025532159186e-01
