# This is the data for the Hubble and q0 maps for the following parameters: 
#  768 points, q0f= -0.574, h0f= 0.7304, zup= 0.1, zdown= 0.01
# 
#  h0u h0u_err h0d h0d_err q0u q0u_err q0d q0d_err
7.255469004212213857e-01 2.103963862696263312e-03 7.375723824889218738e-01 3.165945190813137296e-03 -9.831557577901695044e-01 1.488672324958214832e-01 3.370512309025981007e-02 2.325291496372391686e-01
7.273723577349179292e-01 2.189157562821882584e-03 7.315229074259000930e-01 2.897624053743394837e-03 -8.627481930134164312e-01 1.639214379443850733e-01 -5.422975860562739836e-01 1.964850516045476003e-01
7.282959928442546138e-01 2.207530101202799262e-03 7.292799479643297111e-01 2.859581562917046238e-03 -8.062752333916344272e-01 1.656209427244120236e-01 -6.458530326208987704e-01 1.940209844430402231e-01
7.269141649772519198e-01 2.101099286589875464e-03 7.338987756300199283e-01 3.170601417373075225e-03 -8.877984173601880524e-01 1.490209392503921426e-01 -2.383162583553337099e-01 2.338538104095432002e-01
7.265365578830129678e-01 2.133044751601153883e-03 7.356807036249708442e-01 3.167478937883360431e-03 -8.856810663758867275e-01 1.535465766259145048e-01 -2.235703937812619502e-01 2.226123194568367658e-01
7.247901158671445909e-01 2.105641624605842418e-03 7.385360011758855814e-01 3.164331484391842871e-03 -1.069608800345293043e+00 1.528431297307724368e-01 1.011314235087070468e-01 2.239014283943775441e-01
7.265557684526257054e-01 2.128694376660047322e-03 7.341573523057861594e-01 3.037497642148784347e-03 -9.436582603578437256e-01 1.532861126186427780e-01 -2.470218900620279046e-01 2.173793499549012687e-01
7.280196968586630790e-01 2.192072360013252487e-03 7.301359371835850487e-01 2.878643847938753240e-03 -8.054441733592090369e-01 1.643817232681725193e-01 -6.390539158381842721e-01 1.962075790536583209e-01
7.286747645410822649e-01 2.206885408142467316e-03 7.291033389556457189e-01 2.839532867179344038e-03 -7.635082898435262555e-01 1.647322136549176363e-01 -6.726172761897983854e-01 1.953902215651181495e-01
7.284303892060433050e-01 2.204121828119620045e-03 7.287586189689779781e-01 2.856592268774981683e-03 -7.633742653550253943e-01 1.651244623726310368e-01 -7.235966711199136592e-01 1.942464459274678146e-01
7.275962900141980105e-01 2.152274831379931939e-03 7.314365766934401991e-01 2.991696898583009068e-03 -7.919170157684821687e-01 1.548759249864633536e-01 -5.703625222721175891e-01 2.143226845650361145e-01
7.274381299900253284e-01 2.091504214593942548e-03 7.332589304375259909e-01 3.190424437324050535e-03 -8.282552245148728787e-01 1.477638092386453772e-01 -3.246149371028836383e-01 2.383192717225361135e-01
7.264995534405862543e-01 2.142518454783018909e-03 7.358946493015283696e-01 3.108921873086036361e-03 -8.829098504876092823e-01 1.540060708924539667e-01 -2.194107906066053437e-01 2.207628661484232202e-01
7.257394113447125372e-01 2.145055294839552824e-03 7.365713507335847066e-01 3.093363326344812734e-03 -9.668492358521182384e-01 1.562812051950511760e-01 -1.547631602098884229e-01 2.134281424886945999e-01
7.243250727435379677e-01 2.115945092068385620e-03 7.394364805888179459e-01 3.114854263905816704e-03 -1.067580299346264638e+00 1.537402447931353611e-01 5.820056684881087100e-02 2.202682058978376878e-01
7.260536224554329232e-01 2.119602764206252477e-03 7.352080765481211477e-01 3.040681168939949643e-03 -9.682466067396482412e-01 1.525511438189142421e-01 -2.166507818157130949e-01 2.178976912103309238e-01
7.282374016223953639e-01 2.189858881495285875e-03 7.294703970808090743e-01 2.887838753782333203e-03 -8.165956838607858481e-01 1.625715621363260088e-01 -6.358491591409408672e-01 2.001201843960267179e-01
7.293632787675049522e-01 2.210621493096466723e-03 7.274704927871150639e-01 2.837473539723489070e-03 -7.208050669130251498e-01 1.640607804079297349e-01 -7.790913104090936292e-01 1.975881285669996712e-01
7.287064730747810914e-01 2.209574599331557213e-03 7.287867125183667971e-01 2.838666928931901125e-03 -7.473221662348941141e-01 1.644952644183433066e-01 -7.231085107832814218e-01 1.966444723703832387e-01
7.281003966962367180e-01 2.212653017703785675e-03 7.301594591396677325e-01 2.824219224415425687e-03 -7.944387603456721791e-01 1.646714090938937725e-01 -6.260960338851072615e-01 1.952917325754680855e-01
7.279415494931852360e-01 2.211591333137846466e-03 7.296659378558481013e-01 2.833740538279444846e-03 -7.926489950444449706e-01 1.650873820449963447e-01 -6.680026352165040482e-01 1.931926479639939354e-01
7.274584319672876553e-01 2.190706113150444907e-03 7.305094498063807729e-01 2.886353722417977791e-03 -7.973223244929986686e-01 1.604089840820522028e-01 -6.328727225549476421e-01 2.009442907530390454e-01
7.272573237203893148e-01 2.130839273010425722e-03 7.320150707108442623e-01 3.054743069359178945e-03 -8.215890792263711440e-01 1.506950306583891563e-01 -4.775495942493989676e-01 2.295522736044597889e-01
7.272912141028530231e-01 2.132951337337696523e-03 7.330185674431540788e-01 3.112838601398025280e-03 -8.174375457268145961e-01 1.518674671550813149e-01 -4.176358554957839142e-01 2.254192777821210358e-01
