#[SH0ES_CALIB][HEALPIX] This is the data for LCDM distribution with new set of data for each repetition
# 500 repetitions, 1536 points, q0f= -0.574 h0f= 0.678
# 
# delta_h0_lcdm_max            delta_q0_lcdm_max
1.281738281250011102e-02 1.064062500000001465e+00
1.356933593750009326e-02 1.097949218750001732e+00
2.033691406250004441e-02 1.553906250000002487e+00
1.438964843750001332e-02 1.101757812500001821e+00
1.726074218750006661e-02 1.639257812500002132e+00
1.257812500000010658e-02 1.122949218750001421e+00
1.397949218750016431e-02 1.521875000000002975e+00
1.869628906249998224e-02 1.540527343750002442e+00
1.562011718750000444e-02 1.091113281250002176e+00
1.377441406250023981e-02 1.186621093750001021e+00
9.912109375000088818e-03 1.007031250000001599e+00
1.291992187500001776e-02 1.124414062500000977e+00
1.503906250000008882e-02 1.221582031250002087e+00
1.927734375000011990e-02 1.466015625000002487e+00
1.100585937499998224e-02 7.921875000000007105e-01
1.168945312500013767e-02 9.508789062500020428e-01
1.702148437499995115e-02 1.264257812500002132e+00
1.705566406250003109e-02 1.062207031250000933e+00
1.828613281250002220e-02 1.106347656250001643e+00
2.064453125000009770e-02 1.616113281250001865e+00
1.715820312500004885e-02 1.434765625000002487e+00
1.698730468749998224e-02 1.307714843750002132e+00
1.565429687500008438e-02 1.413378906250002176e+00
1.493652343750007105e-02 9.914062500000017097e-01
2.163574218750019540e-02 1.306640625000002220e+00
1.818359375000011546e-02 1.416601562500001910e+00
1.531250000000006217e-02 1.360058593750001821e+00
2.081542968750005329e-02 1.483007812500002354e+00
1.674804687500019984e-02 1.484375000000002665e+00
1.616699218750006217e-02 1.355468750000002442e+00
1.278320312500003109e-02 1.161523437500002087e+00
1.695312500000001332e-02 1.255957031250001688e+00
1.760253906250008882e-02 1.206445312500001643e+00
2.542968750000007550e-02 1.755175781250002620e+00
1.818359375000011546e-02 9.751953125000021316e-01
1.490234375000010214e-02 1.266894531250002398e+00
1.230468750000013323e-02 9.189453125000015543e-01
1.353515625000001332e-02 1.203808593750000933e+00
1.685058593749988454e-02 1.287109375000001110e+00
2.238769531249995559e-02 2.472949218750003730e+00
1.261230468750007550e-02 9.460937500000019540e-01
1.261230468749996447e-02 9.268554687500010214e-01
1.244140625000000888e-02 1.308886718750002398e+00
1.080078124999994671e-02 1.270507812500001776e+00
1.996093750000005329e-02 1.229589843750001688e+00
1.497070312499992895e-02 1.087890625000001332e+00
1.346679687500007550e-02 1.082617187500001688e+00
1.107421874999992006e-02 1.005566406250001821e+00
1.370605468749996891e-02 1.114160156250001421e+00
1.794433593750011102e-02 1.378906250000001776e+00
1.845703125000019984e-02 1.741503906250002398e+00
2.293457031250001332e-02 2.049023437500003819e+00
2.249023437500008438e-02 1.733496093750003242e+00
1.281738281250011102e-02 1.098925781250001954e+00
1.367187500000000000e-02 1.397460937500001998e+00
1.490234374999999112e-02 1.474804687500002487e+00
1.404785156250021316e-02 1.473046875000002087e+00
1.879882812499988898e-02 1.467089843750002620e+00
1.726074218750017764e-02 1.524902343750001998e+00
1.401367187499991118e-02 1.344238281250003109e+00
1.339843750000002665e-02 1.184179687500001688e+00
1.346679687500007550e-02 1.093554687500002176e+00
1.295410156250009770e-02 1.142773437500002487e+00
1.818359375000000444e-02 9.592773437500012879e-01
1.329589843750000888e-02 1.156542968750001954e+00
1.223632812500008438e-02 8.633789062500012434e-01
1.326171874999992895e-02 1.068750000000001421e+00
1.367187500000011102e-02 1.046777343750001865e+00
1.274902343749995115e-02 1.183398437500002176e+00
1.374023437500004885e-02 1.102148437500001910e+00
1.312500000000005329e-02 1.286035156250002309e+00
1.825195312500005329e-02 1.418847656250001421e+00
2.091796875000018208e-02 2.136035156250002842e+00
1.428710937499999556e-02 1.375878906250001865e+00
1.780761718750001332e-02 1.450390625000002043e+00
1.558593750000014655e-02 1.373828125000001510e+00
1.767089843750013767e-02 1.687109375000002798e+00
9.877929687499897859e-03 1.068066406250001599e+00
1.490234375000021316e-02 1.446875000000002132e+00
1.780761718749979128e-02 1.037304687500002043e+00
1.688476562499985345e-02 1.413085937500002220e+00
1.062988281249999112e-02 9.375976562500014655e-01
1.558593750000014655e-02 1.188574218750002132e+00
1.394531250000019540e-02 1.203613281250002220e+00
1.497070312500003997e-02 1.242578125000002087e+00
1.459472656250015987e-02 1.323632812500002309e+00
2.119140624999993339e-02 1.308496093750002309e+00
1.558593750000014655e-02 1.472949218750002398e+00
1.900390625000003553e-02 1.509960937500002043e+00
1.168945312499991562e-02 8.401367187500015099e-01
1.712402343750007994e-02 1.466308593750001998e+00
1.708984375000000000e-02 1.196093750000001510e+00
1.469726562499995559e-02 1.235546875000001821e+00
2.225097656250007994e-02 2.123046875000003109e+00
1.196289062500000000e-02 8.125976562500009104e-01
1.374023437499993783e-02 9.860351562500008216e-01
1.866210937500012434e-02 1.908398437500002487e+00
1.278320312500003109e-02 8.761718750000012657e-01
1.514160156249999556e-02 1.309863281250001510e+00
1.685058593750010658e-02 1.669921875000002665e+00
1.787597656250017319e-02 1.393261718750002265e+00
1.712402343750019096e-02 1.221484375000001954e+00
1.490234374999999112e-02 1.262011718750001954e+00
1.616699218750006217e-02 1.286035156250001865e+00
1.575683593750010214e-02 1.604003906250002442e+00
2.522460937500003997e-02 1.800976562500002487e+00
1.175781250000007550e-02 1.135546875000001954e+00
1.852539062499991562e-02 1.520214843750002709e+00
1.445800781249995115e-02 1.421289062500002531e+00
1.445800781250006217e-02 1.187792968750002176e+00
1.575683593749999112e-02 1.166308593750001510e+00
2.002929687499999112e-02 1.665722656250002931e+00
2.378906250000012434e-02 2.069335937500003109e+00
1.750000000000007105e-02 1.240429687500001155e+00
1.773925781250007550e-02 1.413281250000002043e+00
1.568847656250005329e-02 1.205859375000001732e+00
1.750000000000007105e-02 1.444042968750002265e+00
1.305664062500011546e-02 1.120605468750002220e+00
1.613281250000020428e-02 1.246289062500002043e+00
1.086914062500010658e-02 9.986328125000014655e-01
1.955078125000009326e-02 1.495507812500001865e+00
1.397949218750005329e-02 1.389355468750002265e+00
1.298828125000017764e-02 1.586718750000002398e+00
1.206542968750012879e-02 9.330078125000016431e-01
1.732910156250011546e-02 1.554980468750001954e+00
2.221679687500000000e-02 1.695605468750002176e+00
1.743164062500013323e-02 1.774902343750002665e+00
1.736328125000008438e-02 1.356640625000002043e+00
1.230468750000013323e-02 1.414453125000002087e+00
1.107421875000003109e-02 1.073144531250001421e+00
1.845703125000008882e-02 1.272656250000002265e+00
1.750000000000007105e-02 1.455664062500002354e+00
1.394531250000008438e-02 1.342089843750002398e+00
1.397949218750016431e-02 9.993164062500017319e-01
1.271484375000009326e-02 1.331835937500001954e+00
1.237304687500007105e-02 8.802734375000014211e-01
1.958496093750017319e-02 1.055273437500001688e+00
1.305664062500011546e-02 8.868164062500012434e-01
1.421875000000016875e-02 1.188574218750001910e+00
1.654296875000005329e-02 1.488183593750002531e+00
1.237304687500007105e-02 8.634765625000020428e-01
1.391113281250000444e-02 1.164257812500001821e+00
1.394531250000019540e-02 1.169628906250002043e+00
1.746582031250010214e-02 1.506445312500002798e+00
1.886718750000004885e-02 1.355175781250002265e+00
1.432128906249996447e-02 1.454394531250001954e+00
1.920898437499996003e-02 1.114941406250001821e+00
1.186035156249998224e-02 1.023437500000002220e+00
1.753417968750003997e-02 1.527539062500001821e+00
1.739746093750005329e-02 1.470312500000002354e+00
2.238769531249984457e-02 1.871484375000003419e+00
1.445800781249995115e-02 1.241406250000001599e+00
1.661132812500021316e-02 1.560742187500002487e+00
1.346679687500007550e-02 1.276367187500002220e+00
1.264648437499993339e-02 8.507812500000011546e-01
2.122558593750012434e-02 1.843457031250002709e+00
1.401367187500013323e-02 9.914062500000013767e-01
1.261230468750007550e-02 9.568359375000013989e-01
2.307128906250022204e-02 2.006152343750002842e+00
1.237304687499984901e-02 9.894531250000014877e-01
1.257812499999988454e-02 8.715820312500009992e-01
1.408203125000018208e-02 1.010058593750001066e+00
