#[SH0ES_CALIB][HEALPIX] This is the data for ISO distribution with new set of data for each repetition
# 500 repetitions, 1536 points, q0f= -0.574 h0f= 0.678
# 
# delta_h0_iso_max           delta_q0_iso_max
1.066406249999984901e-02 6.585937500000005329e-01
1.517578124999996447e-02 9.308593750000011546e-01
9.091796874999835687e-03 8.161132812500007105e-01
1.080078125000005773e-02 8.204101562500007994e-01
1.093750000000004441e-02 8.496093750000000000e-01
1.445800781249984013e-02 9.207031250000006217e-01
7.075195312500004441e-03 7.203125000000012434e-01
1.319335937499988010e-02 9.462890625000013323e-01
8.203124999999866773e-03 7.138671875000004441e-01
1.083496093749991562e-02 8.162109375000006217e-01
7.758789062499937828e-03 4.920898437500005329e-01
1.261230468749996447e-02 6.914062500000004441e-01
8.955078124999849010e-03 9.185546875000012434e-01
9.877929687499897859e-03 6.139648437500002665e-01
1.250976562499994671e-02 9.341796875000003553e-01
1.391113281249989342e-02 1.288671875000001243e+00
1.011718749999990230e-02 8.376953125000006217e-01
1.240722656249992895e-02 8.089843750000005329e-01
1.039062499999987566e-02 6.225585937500008882e-01
1.155273437499992895e-02 7.520507812500007994e-01
1.394531249999986233e-02 1.112011718750001599e+00
1.216796875000003553e-02 1.033105468750000977e+00
1.250976562499983569e-02 9.641601562500010658e-01
9.980468749999915623e-03 9.180664062500012434e-01
9.160156249999773515e-03 9.303710937500007105e-01
9.160156249999884537e-03 8.774414062500004441e-01
1.415039062500000888e-02 9.741210937500008882e-01
1.336425781249972466e-02 9.261718750000005329e-01
1.186035156249998224e-02 9.291015625000005329e-01
8.237304687499946709e-03 9.019531250000012434e-01
8.203124999999866773e-03 5.769531250000010658e-01
1.209960937499987566e-02 9.266601562500005329e-01
1.339843750000002665e-02 8.648437500000003553e-01
9.228515624999933387e-03 7.166992187500000888e-01
1.254394531249980460e-02 1.170214843750000622e+00
1.647460937500000444e-02 1.233203125000001066e+00
1.056152343750005329e-02 5.703125000000004441e-01
1.131347656250003553e-02 8.444335937500011546e-01
9.467773437499826805e-03 5.015625000000003553e-01
9.775390624999991118e-03 5.875000000000012434e-01
1.141601562499994227e-02 7.988281250000004441e-01
8.818359374999973355e-03 9.871093750000006217e-01
1.086914062500010658e-02 8.681640625000004441e-01
1.172363281249999556e-02 8.563476562500000888e-01
9.877929687499897859e-03 7.888671875000010658e-01
1.086914062500010658e-02 9.143554687500006217e-01
9.023437500000008882e-03 8.508789062500010658e-01
1.196289062499988898e-02 7.429687500000001776e-01
9.365234374999920064e-03 7.130859375000007105e-01
8.647460937499906741e-03 7.871093750000008882e-01
7.314453125000008882e-03 6.860351562500013323e-01
8.476562499999840128e-03 7.063476562500006217e-01
1.415039062499989786e-02 1.078320312500000711e+00
1.182617187499990230e-02 1.086035156250001688e+00
9.946289062499946709e-03 9.156250000000003553e-01
1.421874999999994671e-02 9.989257812500009770e-01
1.032226562499993783e-02 8.048828125000007105e-01
7.827148437499875655e-03 8.104492187500009770e-01
1.045898437499992450e-02 8.590820312500002665e-01
1.080078125000005773e-02 8.456054687500000888e-01
