# This is the data for the dw statistics for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.678, zup= 0.1, zdown= 0.0
#  dw_up dw_down
9.678542799417607645e-01 8.270542168974924779e-01
9.665362847098095678e-01 8.766415630238070245e-01
9.193027402465148157e-01 8.660321105042956269e-01
9.571083378646805251e-01 7.871246896331790532e-01
9.747419891223572108e-01 8.346116924811853854e-01
9.837172827320932456e-01 8.129335477470952531e-01
9.562694208427134912e-01 8.538037692679342205e-01
9.245072246094104829e-01 8.724008595361945062e-01
9.044398618668824108e-01 8.720882172042744296e-01
9.073076213548724178e-01 8.818908073269658976e-01
9.328140216201654678e-01 8.779366003258861628e-01
9.733261598984573881e-01 8.202332438123997038e-01
9.868199338705513357e-01 7.102722768250291363e-01
9.737042380253059237e-01 7.157623097149837799e-01
9.781072179735925687e-01 8.081683899836514806e-01
9.644752704497538964e-01 8.535619529947200412e-01
9.603672710221118347e-01 8.642026111352405504e-01
9.253172910224082282e-01 8.485484585361339205e-01
9.121949352435353431e-01 8.792674754900487999e-01
9.048003882574386925e-01 8.619538864591853589e-01
9.239742929310218456e-01 8.867253254574102295e-01
9.312620401040974105e-01 8.808388707529052342e-01
9.598277873956543305e-01 8.689302377966376945e-01
9.714341740099364797e-01 7.119450806442820801e-01
9.822662056658790775e-01 6.879608354226743883e-01
9.929768330720019076e-01 6.764820842844212478e-01
9.625942937493510154e-01 7.213574887729603535e-01
9.767192675084558351e-01 7.404265674055694468e-01
9.639963103961215474e-01 8.194823758708859041e-01
9.480097899541608530e-01 9.197532807665544929e-01
9.372790127164305485e-01 9.019527351320244524e-01
9.169731682827774177e-01 9.172723379249337894e-01
9.151523866548143538e-01 8.808146664383302848e-01
9.260901532982357409e-01 8.650604241201651501e-01
9.077575636676540327e-01 8.896528584115758198e-01
9.222329093538208511e-01 8.746797299314760243e-01
9.305716479117909223e-01 8.923600076679123472e-01
9.355771115226790835e-01 8.435134193262368019e-01
9.432375106357387962e-01 7.384419980462294530e-01
9.805970761925807411e-01 6.840060520511994646e-01
9.872198442600806922e-01 6.843215778811200245e-01
9.883580394301406669e-01 6.936738406071386587e-01
9.836968110537648302e-01 7.254832420451922115e-01
9.691095483208612693e-01 7.094687509992504415e-01
9.852493630799915580e-01 7.160159634008722573e-01
9.566463363251543894e-01 9.097360633256151852e-01
9.482406114568634470e-01 9.050703996606869195e-01
9.212678863121845918e-01 8.535770863925490337e-01
8.812819624602137303e-01 8.667612954973727968e-01
8.921468537278032240e-01 9.079317661838675058e-01
8.841801518425702611e-01 9.307400766264924963e-01
8.971344904328996117e-01 8.801417527074621994e-01
9.133711691001500377e-01 8.713250236646022939e-01
9.118186454629887416e-01 8.946048121782846918e-01
9.231906006784056373e-01 8.830818700611754446e-01
9.276056935675118797e-01 8.850820244551407256e-01
9.130236468096387670e-01 9.465520281032725469e-01
9.333082807615903365e-01 8.660612804256637709e-01
9.694063696515250461e-01 7.083575816868971087e-01
1.005224444636808379e+00 6.935769177981222500e-01
9.768113428866309622e-01 6.925723034617816687e-01
9.852602447628288074e-01 6.768261059132042456e-01
9.710308599714509992e-01 6.867158963888658763e-01
9.762244725821629387e-01 7.536789209044792992e-01
9.610260418416062267e-01 7.079633238685016927e-01
9.834020439761108623e-01 7.943140048738642767e-01
9.621051266168767491e-01 8.937298052507915980e-01
9.561325253742456454e-01 9.031183448119090018e-01
9.219835857551063052e-01 1.037706558875193696e+00
8.346761402358250370e-01 9.164521919012018625e-01
8.228980612285015095e-01 9.613363516755762950e-01
8.747710224041285176e-01 9.211736939468218033e-01
9.018713117873066176e-01 9.092476143277045120e-01
9.154879857824651523e-01 8.961328064417389827e-01
9.130646614289891216e-01 8.575770442192119924e-01
9.156086879259133227e-01 8.840644345315452624e-01
9.070175205216259862e-01 8.809787117460484707e-01
9.285888715314655206e-01 8.733441124080845164e-01
9.223940586353269744e-01 9.011981067596147588e-01
9.150388295378822923e-01 9.525094353812015857e-01
9.281751537549868258e-01 8.469054303653561488e-01
9.693121569430223072e-01 7.261647541617451962e-01
9.840327976451316294e-01 7.136912603351340811e-01
9.885922799126024563e-01 7.010886256767896452e-01
9.951455668774025209e-01 6.631630785451994026e-01
9.724159588524616815e-01 6.900646160694622333e-01
9.426684136980668649e-01 7.297505271372080049e-01
9.594741331026055420e-01 7.475253451164111107e-01
9.844305781252397081e-01 7.581761664979698168e-01
9.299458802763798104e-01 8.328596052907880631e-01
9.205822324373595933e-01 8.504831508326621270e-01
9.283422737445224948e-01 9.108789846484456332e-01
9.102824637166810895e-01 9.504503946410279847e-01
9.217391463012988284e-01 9.668357640903050276e-01
8.723797635197914069e-01 9.260805959796715170e-01
8.275669458889904906e-01 9.495874698994966057e-01
8.383214948822435009e-01 9.862833785715714452e-01
8.436349757120017445e-01 9.976162141226375679e-01
8.939841005707809263e-01 9.442567313919275618e-01
9.069289145726108226e-01 9.491286428739883485e-01
