# This is the data for the dw statistics for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.7304, zup= 0.1, zdown= 0.0
#  dw_up dw_down
1.411671834599988795e+00 1.116607212043781328e+00
1.407469774018752506e+00 1.108923234393010882e+00
1.403865070132623183e+00 1.105055575913081567e+00
1.416337162340589595e+00 1.201935135310792546e+00
1.296409838074436660e+00 1.288106929097331488e+00
1.302233480703097301e+00 1.466382451693663880e+00
1.318618198140170117e+00 1.557170706882582634e+00
1.309678743780029464e+00 1.566946772078099182e+00
1.330161753562328020e+00 1.683987905721527234e+00
1.227525752440822737e+00 1.439636231387156906e+00
1.229860778813417266e+00 1.476928848985283649e+00
1.281477829282934522e+00 1.453516864417252696e+00
1.299369487409154145e+00 1.467610201543342319e+00
1.301375438165363718e+00 1.483215075550291751e+00
1.291015545820073829e+00 1.430137387098930901e+00
1.288992146406038319e+00 1.490998330825448859e+00
1.303227342779676778e+00 1.435946979184425265e+00
1.317124907797425415e+00 1.452505272731165809e+00
1.325705811209195728e+00 1.473550232198000076e+00
1.307991038533004469e+00 1.567814431426628907e+00
1.277682033758228419e+00 1.468323315514149296e+00
1.379627992359147681e+00 1.206405550166798957e+00
1.477629895677115890e+00 1.089077381998909466e+00
1.464300722875669036e+00 1.089776119046907521e+00
1.454838783132056834e+00 1.046364346384816679e+00
1.431228175798528124e+00 1.081268325129510322e+00
1.372378569713480712e+00 1.160850457813143111e+00
1.409558310125557323e+00 1.174067941740797982e+00
1.430530449322718889e+00 1.204957844608553374e+00
1.263246938083790738e+00 1.479396292808825786e+00
1.217660351778200534e+00 1.549569076403078061e+00
1.249592550506054112e+00 1.611158216000744048e+00
1.253272558922845059e+00 1.647654221595415525e+00
1.297474699467791259e+00 1.621242611218028484e+00
1.281332519109582346e+00 1.460959089807539968e+00
1.226263648881935175e+00 1.475169738936981112e+00
1.232612275603687024e+00 1.554110289451305249e+00
1.252500665188442941e+00 1.550710245553353905e+00
1.312530439869660892e+00 1.489053275686907707e+00
1.322452600990345672e+00 1.512747243989091883e+00
1.327395178158635947e+00 1.502489544995238679e+00
1.309120471432138277e+00 1.489263072897499818e+00
1.251104886680575401e+00 1.478459779002821772e+00
1.295800489053753557e+00 1.415515201648909427e+00
1.312353152945158419e+00 1.463209022080030453e+00
1.311495094040781684e+00 1.453321257346831041e+00
1.325989586528481423e+00 1.588863770929513697e+00
1.302448422467041622e+00 1.560547574272360460e+00
1.458026295016965346e+00 1.143193187664019117e+00
1.497975437680494570e+00 1.063459246578891015e+00
1.496466378333977776e+00 1.070982950611370610e+00
1.483977480469252486e+00 1.080982817549387853e+00
1.462807659724595366e+00 1.040302660834516946e+00
1.443580675841929617e+00 1.095230059220364982e+00
1.461753726755896654e+00 1.118773147726865869e+00
