# This is the data for the Hubble and q0 maps for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.7304, zup= 0.1, zdown= 0.0
# 
#  h0u h0u_err h0d h0d_err q0u q0u_err q0d q0d_err
7.189628941341624779e-01 2.015493634929480665e-03 7.353486899186777448e-01 3.013698155875177767e-03 -1.120634862427960732e+00 1.483857667356882626e-01 4.545895790858428542e-02 2.369147827254148853e-01
7.217120790407492992e-01 2.095241645620987952e-03 7.277707506582627994e-01 2.765544530036221933e-03 -8.902464024452453328e-01 1.613517944044976782e-01 -7.282122385299039102e-01 1.960336664473150137e-01
7.207196855850903638e-01 2.104434536956222186e-03 7.293443871951454938e-01 2.753820617062006666e-03 -9.869507547453727492e-01 1.635841185128580899e-01 -5.907982362314888602e-01 1.926603071473461104e-01
7.206016504050710703e-01 2.030802748235725937e-03 7.310205072949298444e-01 2.944536926331818311e-03 -9.106631423458749763e-01 1.491893224924753514e-01 -5.916978036301534516e-01 2.263515039009978413e-01
7.186152465406117074e-01 2.016105066626117191e-03 7.363305812791729466e-01 3.025072508472799633e-03 -1.105071988667340355e+00 1.490897086637434366e-01 -2.208155035221362819e-02 2.339934749801684810e-01
7.181470078794164325e-01 2.023762485819667178e-03 7.365011958167544392e-01 2.989586654829456958e-03 -1.173408780744773061e+00 1.501862826617089697e-01 7.223090354460039164e-02 2.294903630554828433e-01
7.204129351007122484e-01 2.035817678400265313e-03 7.312482422149896300e-01 2.929186089463689784e-03 -9.824339545377924754e-01 1.506654420230112978e-01 -4.744137857275518844e-01 2.171346269038622323e-01
7.211399477097203414e-01 2.100055533682904270e-03 7.287479093882889281e-01 2.759628240906530482e-03 -9.174039937710596337e-01 1.630208100011024952e-01 -6.894270951547931681e-01 1.940902880672464859e-01
7.221099634408457701e-01 2.108532656153025778e-03 7.270151205001013084e-01 2.742076693193547677e-03 -8.459095323027133739e-01 1.635683770699999373e-01 -7.952842594467757209e-01 1.936598740541840835e-01
7.210085889329379549e-01 2.104712881248087426e-03 7.285990644653679293e-01 2.743670165565430859e-03 -9.546278855525670570e-01 1.631322526781857074e-01 -6.510360125270985288e-01 1.929586354740840115e-01
7.204357187680089369e-01 2.061199929711556977e-03 7.303129535903908343e-01 2.853540662748350019e-03 -9.480982347323777537e-01 1.530707437966279671e-01 -5.817414187274777548e-01 2.135250187266476418e-01
7.196184845803771379e-01 2.019421714913918840e-03 7.342408525974094546e-01 3.001741420722416585e-03 -1.040183720366047115e+00 1.493415653096013818e-01 -1.675112272917260170e-01 2.324704485233106133e-01
7.183305970665185836e-01 2.017152215328511453e-03 7.371962880262187268e-01 3.034078312148122836e-03 -1.108867824322950613e+00 1.501406018555517530e-01 -2.974421223494756739e-02 2.302041946422146712e-01
7.184479422574659990e-01 1.000000000000000000e+00 7.372730052975356996e-01 3.063675418661606330e-03 -1.111965970769315026e+00 1.483994603224323139e-01 2.645543226458633990e-02 2.362879391289552933e-01
7.179888210800837722e-01 2.020720147743449140e-03 7.368503180004422060e-01 3.011360370522412049e-03 -1.170485473645854757e+00 1.507029278606778766e-01 3.116885541547897293e-02 2.278569898946923855e-01
7.197288524518986597e-01 2.039339261169622643e-03 7.328866165714328362e-01 2.909978564503116691e-03 -1.026308484838077240e+00 1.525654137112020803e-01 -3.671647304031508408e-01 2.201922841359008620e-01
