# [SH0ES_CALIB]This is the data for ISO distributed Sne positions with a new set of data for each repetition.
# 500 repetitions, 3072 points, q0f= -0.574 h0f= 0.7304
# 
# delta_h0_iso_max            delta_q0_iso_max
7.809204705586214601e-03 8.425686733127402128e-01
9.702513248786015509e-03 8.210761477545007736e-01
1.329375196229520828e-02 1.182519227102852621e+00
9.800031786470708717e-03 6.298826045809464702e-01
8.804648009497650918e-03 6.454077609691308837e-01
1.046784856493498950e-02 7.900612917394862489e-01
1.027678852379165786e-02 5.735937290695007906e-01
1.492921975722572014e-02 1.174385082054173690e+00
1.399612899822766376e-02 1.125580712263019922e+00
9.105833072313607168e-03 7.007668903576105279e-01
1.076875009065936251e-02 8.453059425256018722e-01
7.595866277781748721e-03 6.141506905092478652e-01
7.740629061042780812e-03 6.237034603351493400e-01
8.638112469330327947e-03 7.736082573125031558e-01
9.591495358693413742e-03 7.493877279553395887e-01
1.485605896779307322e-02 1.075638011754483703e+00
1.202661081020772738e-02 8.470956347937392827e-01
1.193861353053127239e-02 5.888817811737117047e-01
1.214720287618364924e-02 9.208197020951222056e-01
9.139661594643189169e-03 5.636802714883518695e-01
9.664130277818983039e-03 8.828794691561879793e-01
1.350828936057990592e-02 1.068367865363748059e+00
1.238236162233175008e-02 8.335903936271653603e-01
1.349094897981251151e-02 1.329880003489452900e+00
1.474341784040356096e-02 9.712667932581280361e-01
1.008071690734457793e-02 7.488084134053778484e-01
7.352556069742388623e-03 4.509705841798345993e-01
1.020903957939878204e-02 7.272298711706275398e-01
1.037961254700670022e-02 8.666174159837911617e-01
1.013873149570554411e-02 7.038753741268993780e-01
1.249645321735792791e-02 1.004649031041304763e+00
1.012183419738843515e-02 8.412914207878312567e-01
1.439102400620428934e-02 1.042917709969694240e+00
1.514308590245350139e-02 1.043977096664025384e+00
8.434306044620254461e-03 7.973956371729730153e-01
9.271485345116570187e-03 7.309222978235871970e-01
1.599831731629419718e-02 1.237285718082610231e+00
1.519941125890789113e-02 1.091629486798967985e+00
1.378100780185675944e-02 1.084529911378901534e+00
1.535297647916555874e-02 1.021006025739448653e+00
1.326160101183249118e-02 8.536246894673227281e-01
1.464622992442810023e-02 1.219736071054803972e+00
1.510900015792493445e-02 1.174642000815614651e+00
9.360867676913908753e-03 7.029535139560977308e-01
1.032138772154733708e-02 9.401708087006936942e-01
1.223175990304958827e-02 7.901982046472368904e-01
1.329018550048033376e-02 1.046307920991840890e+00
1.012038282306571002e-02 8.531563876697605409e-01
8.518218996002580035e-03 5.489026658852325102e-01
